Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2020_Q1,Balance Sheet,1.2,ASSETS,90292121.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.4,ASSETS,1075051.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.5.1,ASSETS,55282762.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.5.5,ASSETS,-23872203.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.7,ASSETS,1470317.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.2,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.3,LIABILITY,3041223.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.5,LIABILITY,409811.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.6,LIABILITY,813812.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,3.4,EQUITY,12647542.0,,,,,,,,,,,
abb_bank,2020_Q1,Balance Sheet,3.4.3,EQUITY,6236405.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.4,ASSETS,735704.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.5.1,ASSETS,55155296.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.5.5,ASSETS,-2144869.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.7,ASSETS,1473693.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.2,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.3,LIABILITY,29994214.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.5,LIABILITY,1691422.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.6,LIABILITY,813812.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,3.4,EQUITY,11390204.0,,,,,,,,,,,
abb_bank,2020_Q2,Balance Sheet,3.4.3,EQUITY,6426466.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.4,ASSETS,65694.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.5.1,ASSETS,58610727.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.5.5,ASSETS,-2453164.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.7,ASSETS,1473693.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.3,LIABILITY,17036961.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.5,LIABILITY,2112574.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.6,LIABILITY,813812.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,3.4,EQUITY,11454864.0,,,,,,,,,,,
abb_bank,2020_Q3,Balance Sheet,3.4.3,EQUITY,658259.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.4,ASSETS,777.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.5.1,ASSETS,59993002.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.5.5,ASSETS,-2428666.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.7,ASSETS,1797007.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.3,LIABILITY,19238717.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.5,LIABILITY,721716.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.6,LIABILITY,1605249.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,3.4,EQUITY,12261451.0,,,,,,,,,,,
abb_bank,2020_Q4,Balance Sheet,3.4.3,EQUITY,685189.0,,,,,,,,,,,
