1.11,Ödənilmiş digər əməliyyat xərcləri,0
,Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə,
2.00,,"82,115"
,pul vəsaitlərinin hərəkəti,
2.10,Əməliyyat aktivlərindən xalis artım/azalma,"-306,769"
2.1.1,Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma),"-46,311"
2.1.2,Müştərilərə verilmiş kreditlərdə xalis artım (azalma),"-220,922"
2.1.3,Digər aktivlərdə xalis artım (azalma),"-39,536"
2.20,Əməliyyat öhdəliklərindən xalis artım/azalma,"168,444"
2.2.1,Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma),"107,023"
2.2.2,Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),0
2.2.3,Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),"74,302"
2.2.4,Digər öhdəliklərdəxalis artım (azalma),"-12,881"
3.00,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"-56,210"
