,,,min manatla
,,Cari hesabat,Əvvəlki hesabat
,,dövrü,dövrü
,,31.03.2020,31.03.2019
1.00,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
1.10,Alınmış faizlər,"100,410","88,243"
1.20,Ödənilmiş faizlər,"-14,386","-13,434"
1.30,Alınmış haqq və kommisiyalar,"34,255","31,937"
1.40,Ödənilmiş haqq və kommisiyalar,"-9,536","-4,890"
1.50,Xarici valyuta əməliyyatlarından xalis gəlir,"5,939","3,799"
1.60,Xarici valyutada törəmə maliyyə alətlərindən realizasiya olunmuş xalis gəlir,0,0
1.70,Ödənilmiş əmək haqqı və digər kompensasiyalar,"-19,311","-14,574"
1.80,Ödənilmiş ümumi və inzibati xərclər,"-16,049","-10,938"
1.90,Ümidsiz borclardan daxilolmalar,0,0
1.10,Alınmış digər əməliyyat gəlirləri,793,"1,016"
1.11,Ödənilmiş digər əməliyyat xərcləri,0,0
,Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə,,
2.00,,"82,115","269,155"
,pul vəsaitlərinin hərəkəti,,
2.10,Əməliyyat aktivlərindən xalis artım/azalma,"-306,769","-86,405"
2.1.1,Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma),"-46,311","-131,040"
2.1.2,Müştərilərə verilmiş kreditlərdə xalis artım (azalma),"-220,922","-34,517"
2.1.3,Digər aktivlərdə xalis artım (azalma),"-39,536","79,151"
2.20,Əməliyyat öhdəliklərindən xalis artım/azalma,"168,444","-209,557"
2.2.1,Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma),"107,023","31,847"
2.2.2,Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),0,0
2.2.3,Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),"74,302","-246,924"
2.2.4,Digər öhdəliklərdəxalis artım (azalma),"-12,881","5,520"
3.00,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"-56,210","-214,803"
3.10,Ödənilmiş mənfəət vergisi,"-3,000","-16,300"
4.00,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"-59,210","-231,103"
5.00,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
5.10,Əmlak və avadanlıqların alınması və avans ödənişləri,"2,601",-824
5.20,Əmlak və avadanlıqların satılmasından daxilolmalar,1,0
5.30,Qeyri-maddi aktivlərin alınması,"-3,128","-2,805"
5.40,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,0
5.50,Alınmış dividendlər,0,0
5.60,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"84,578","-494,762"
5.70,Digər,"-2,250",0
,İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin,,
6.00,,"81,802","-498,391"
,hərəkəti,,
7.00,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
7.10,Digər borc öhdəliklərinin əldə olunması,0,0
7.20,Digər borc öhdəliklərinin ödənilməsi,0,0
7.30,Subordinasiya borclarının əldə olunması,0,0
7.40,Subordinasiya borclarının ödənilməsi,0,0
7.50,Səhmdar kapitalının buraxılmasından daxilolmalar,0,0
7.60,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,0
,8.00 Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,0,0
9.00,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,772,007","1,714,991"
10.00,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"20,341","-730,403"
