"","Kapital strukturunda dəyişikliklər haqqında hesabat",""
"1","1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az","389971"
"1.1","adi səhmlər (tam ödənilmiş paylar)","185850"
"1.2","qeyri-kumulyativ müddətsiz imtiyazlı səhmlər","40000"
"1.3","səhmlərin emissiyasından əmələ gələn  əlavə vəsait","800"
"1.4","bölüşdürülməmiş xalis mənfəət (zərər), cəmi","163321"
"1.4.1 əvvəlki illərin mənfəəti (zərəri)","","143251"
"1.4.2 (çıx) cari ilin zərəri","","0"
"1.4.3 kapital ehtiyatları (fondları)","","20070"
"1.5","digər","0"
"2","I dərəcəli kapitaldan  tutulmalar","24045"
"3","Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2)","365927"
"4","II dərəcəli  kapital","112639"
"5","Məcmu kapital (3+4)","478566"
"6","Məcmu kapitaldan tutulmalar :","8320"
"7","Tutulmalardan sonra məcmu kapital (5-6)","470245"
"8","Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər","2456197"
"","","faizlə"
"9","I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100","15"
"10","Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100","19"
