"","Mənfəət və zərər","",""
"","","","Keçən ilin müvafiq"
"","proLosStatem","Cari dövr",""
"","","","dövrü"
"","","31.03.2020","31.03.2019"
"1","Faiz gəlirləri:","106498","93296"
"1.1","Müştərilərə verilmiş kreditlər","93880","74377"
"1.2","Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri","173","40"
"1.3","Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri","5807","7692"
"1.4","Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri","4295","9294"
"1.5","Digər faiz gəlirləri","2343","1892"
"2","Faiz xərcləri:","12646","16433"
"2.1","Depozitlər üzrə faizlər","11839","15510"
"2.2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri","1","0"
"2.3","Cəlb edilmiş kreditlərə görə ödənilən faizlər","422","834"
"2.4","Pul bazarı alətlərinə ödənilən faizlər","0","0"
"2.5","Qiymətli kağızlar üzrə faizlər","0","0"
"2.6","Digər faiz xərcləri","384","89"
"3","Xalis faiz gəliri(zərəri)","93852","76862"
"4","Qeyri-faiz gəlirləri:","48431","36038"
"4.1","Alınan haqq və kommisiya gəliri","41940","31172"
"4.2","Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla","5698","3850"
"4.3","Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər","0","0"
"4.4","Digər gəlirlər","794","1016"
"5","Qeyri-faiz xərcləri:","58952","46335"
"5.1","Əmək haqqı və digər kompensiya növləri üzrə xərclər","30596","26431"
"5.2","Ümumi və inzibati xərclər","6278","4767"
"5.3","Amortizasiya xərcləri","4312","3777"
"5.4","Digər xərclər","17765","11360"
"6","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar)","-10573","6505"
"7","Mənfəət vergisindən əvvəlki mənfəət(zərər)","93904","60061"
"8","Mənfəət vergisi","19010","12435"
"9","Dövr üzrə xalis mənfəət","74893","47626"
