"","Maliyyə vəziyyəti haqqında hesabat","",""
"","","","min manatla"
"","finSitStatem","Hesabat dövrü","Ötən ilin sonu"
"","","30.06.2020","30.06.2020"
"1.00 Aktivlər:","","4,870,499","3,661,589"
"1.10","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait","1,482,831","699,922"
"1.20","Ticarət və investisiya qiymətli kağızları","492,057","698,324"
"1.30","Banklar və digər maliyyə institutlarındakı depozitlər","503,485","518,340"
"1.40","Banklar və digər maliyyə institutlarına verilən kreditlər","9,725","468"
"1.50","Müştərilərə verilmiş kreditlər","2,154,116","1,649,275"
"1.5.1","a) istehlak kreditləri","1,353,475","1,201,664"
"1.5.2","b) biznes kreditləri","608,351","398,171"
"1.5.3","c) daşınmaz əmlak kreditləri","192,290","49,440"
"1.5.4","d) digər kreditlər","0","0"
"1.5.5","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat)","-278,532","-242,902"
"1.5.6","Müştərilərə verilmiş kreditlər (xalis)","1,875,584","1,406,373"
"1.60","Əmlak və avadanlıqlar","58,314","42,613"
"1.70","Qeyri-maddi aktivlər","23,762","20,289"
"1.80","Təxirə salınmış vergi aktivləri","0","0"
"1.90","Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat","-2,284","-1740"
"1.10","Digər aktivlər","427,026","277,000"
"2.00 Öhdəliklər:","","4,361,949","3,299,319"
"2.10","Depozitlər","3,625,804","2,867,173"
"2.1.1","a) fiziki şəxslərin depozitləri","1,131,312","1,184,956"
"2.1.2","b) hüquqi şəxslərin depozitləri","2,494,492","1,682,217"
"2.20","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər","2,160","500"
"2.30","Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər","424,191","173,668"
"2.40","Borc qiymətli kağızları","0","0"
"2.50","Cari vergi öhdəlikləri","46,681","28,662"
"2.60","Təxirə salınmış vergi öhdəliyi","0","0"
"2.70","Subordinasiya borc öhdəlikləri","8,500","0"
"2.80","Digər öhdəliklər","254,012","229,316"
"3.00 Kapital:","","508,550","362,270"
"3.10","Səhmdar kapitalı","225,850","225,850"
"3.20","Səhmin qiymətinin dəyişməsindən gəlir (zərər)","800","800"
"3.30","Bölüşdürülməmiş mənfəət","248,877","101,805"
"3.40","Ümumi ehtiyatlar:","33,023","33,814"
"3.4.1","a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar","26,885","27,676"
"3.4.2","b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar","2,240","2,240"
"3.4.3","c) digər ümumi ehtiyatlar","3,897","3,897"
"4.00 Cəmi öhdəliklər və kapital","","4,870,499","3,661,589"
