,Kapital strukturunda dəyişikliklər haqqında hesabat,
1,1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az,389971.40
,olmamalıdır),
1.1,adi səhmlər (tam ödənilmiş paylar),185850.00
1.2,qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,40000.00
1.3,səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800.00
1.4,"bölüşdürülməmiş xalis mənfəət (zərər), cəmi",
,,78321.40
1.4.1 əvvəlki illərin mənfəəti (zərəri),,
,,58250.98
1.4.2 (çıx) cari ilin zərəri,,
,,0.00
1.4.3 kapital ehtiyatları (fondları),,20070.42
1.5,digər,0.00
2,I dərəcəli kapitaldan  tutulmalar,23761.50
3,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),281209.90
4,II dərəcəli  kapital,205940.96
5,Məcmu kapital (3+4),487150.86
6,Məcmu kapitaldan tutulmalar :,8320.42
7,Tutulmalardan sonra məcmu kapital (5-6),478830.44
8,Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər,2397981.65
,,faizlə
9,I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100,11.73
10,Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100,19.97
