,A.    Aktivlər,,,,,,,,,,,,,,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,
,,ani,,1-7,,,8-14,,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,,,XV (manat,,XV (manat,,,XV (manat,,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,XV (manat,,"o cümlədən,"
,,Cəmi,ekv.),Cəmi,ekv.),,Cəmi,ekv.),,Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,ekv.),Cəmi,XV ilə (manat
,assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekv.)
,,tot-ins,FXAZNEqui-,tot-1-7,FXAZNEqui-1-,,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-,tot-151-180,FXAZNEqui-,tot-181-210,FXAZNEqui-,tot-211-240,FXAZNEqui-,tot-241-270,FXAZNEqui-,tot-271-300,FXAZNEqui-,tot-301-300,FXAZNEqui,tot-331-365,FXAZNEqui-,tot-1-2,FXAZNEqui-1-,Tot-2-3,FXAZNEqui-2-,tot-3-5,FXAZNEqui-3-,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-
,,,ins,,7,,,14,,,30,,60,,90,,120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365,,2,,3,,5,,,,tot
cashFund,"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta","426,044.34","142,672.23",0.00,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"426,044.34","142,672.23"
,"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reqFromCB,2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya,"1,031,691.84","509,081.41",0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,095.61","12,022.21","1,056,787.45","521,103.62"
,müxbir hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accNostr,"3. “Nostro"" hesabları","60,363.88","60,363.88",0.00,,0.00,0.00,,0.00,"3,400.00","3,400.00",501.50,501.50,"3,128.27","3,128.27",592.53,592.53,229.36,229.36,0.00,0.00,"3,994.91","3,994.91",425.00,425.00,"2,267.42","2,267.42","15,452.51","15,452.51",0.00,0.00,"1,911.40","1,911.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"92,266.78","92,266.78"
resBank,a) Rezident banklara,"11,083.57","11,083.57",0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,083.57","11,083.57"
non-resBank,b) Qeyri-rezident banklara,"49,280.31","49,280.31",0.00,,0.00,0.00,,0.00,"3,400.00","3,400.00",501.50,501.50,"3,128.27","3,128.27",592.53,592.53,229.36,229.36,0.00,0.00,"3,994.91","3,994.91",425.00,425.00,"2,267.42","2,267.42","15,452.51","15,452.51",0.00,0.00,"1,911.40","1,911.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"81,183.21","81,183.21"
interBankShTermFinInst,4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci,0.00,0.00,"85,000.00",,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"85,000.00",0.00
,gün də daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depInFinInsIncBankTot,"5. Banklar daxil da olmaqla, maliyyə institutlarına","4,557.66","4,557.66","28,865.82",,0.00,"72,825.48",,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"17,000.00",0.00,"10,000.00",0.00,"32,100.00",0.00,"34,850.00",0.00,"20,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"285,698.96","13,057.66"
,"depozitlər, cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resFinIns,a) Rezident maliyyə institutlarına,0.00,0.00,"28,865.82",,0.00,"72,825.48",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,000.00",0.00,"10,000.00",0.00,"32,100.00",0.00,"34,850.00",0.00,"20,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,141.30",0.00
dueDep,a1) müddəti çatmamış depozitlər,0.00,0.00,"28,865.82",,0.00,"72,825.48",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,000.00",0.00,"10,000.00",0.00,"32,100.00",0.00,"34,850.00",0.00,"20,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,141.30",0.00
retDateExpDep,a2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-resFinIns,b) Qeyri-rezident maliyyə institutlarına,"4,557.66","4,557.66",0.00,,0.00,0.00,,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"21,557.66","13,057.66"
dueDep,b1) müddəti çatmamış depozitlər,"4,557.66","4,557.66",0.00,,0.00,0.00,,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"21,557.66","13,057.66"
retDateExpDep,b2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
revRepoOper,6. Əks REPO əməliyyatları üzrə,0.00,0.00,"4,491.81",,0.00,"16,447.38",,0.00,"9,357.36",0.00,0.00,0.00,"10,223.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,520.00",0.00
invsInSecInclMorgSec,7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla,0.00,0.00,"15,085.00",,85.00,0.00,,0.00,510.00,510.00,"1,736.10",187.00,306.00,306.00,"2,808.40","2,808.40","6,114.70","1,479.00","16,578.00",850.00,"2,087.50",425.00,"15,057.20","1,472.20","13,350.00","2,762.50","6,910.70","3,663.50","5,232.90","2,194.70","12,739.93","1,458.59","31,532.50","10,745.70","14,004.20","1,552.10","38,057.90","38,057.90","5,100.00","5,100.00","187,211.03","73,657.59"
,qiymətli kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commSecInclMorgSec,8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət,0.00,0.00,"85,008.21",,0.00,0.00,,0.00,"114,933.05",0.00,"37,161.12",0.00,206.02,0.00,"12,146.61",0.00,"14,318.19",0.00,0.00,0.00,"2,570.45",0.00,"3,000.41",0.00,"2,999.99",0.00,0.00,0.00,"3,750.13",0.00,"3,751.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,000.00",0.00,"304,846.09",0.00
,üçün qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loanToBankExclInterBankShTermFinInst,9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
,"alətləri istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currLoan,a) cari kreditlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
resBank,a1) Rezident banklara,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
non-resBank,a2) Qeyri-rezident banklara,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
expLoan,b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
resBank,b1) Rezident banklara,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-resBank,b2) Qeyri-rezident banklara,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
loanToMiscFinInsExclInterBankShTermFinInst,10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
,"olmaqla, digər maliyyə institutlarına kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currLoan,a) cari kreditlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
res,a1) Rezident,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
non-res,a2) Qeyri-rezident,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
expLoan,b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
res,b1)Rezident,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-res,b2) Qeyri-rezident,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
custLoan,11. Müştərilərə verilən kreditlər,"32,866.81","2,193.67","2,799.55",,81.35,"7,374.94",,104.43,"16,166.28",475.75,"51,634.85","4,624.63","62,414.82","6,105.79","56,373.69","6,660.95","54,172.86","5,235.95","51,279.87","5,248.78","79,875.22","22,683.77","44,998.78",630.48,"46,710.81","2,817.85","43,661.60","2,594.15","48,033.39","5,570.34","51,066.49",106.68,"687,237.02","45,033.28","348,411.55","100,614.70","219,077.27","184,199.33","249,960.04","13,122.10","2,154,115.84","408,103.98"
currLoan,a) cari kreditlər,"32,866.81","2,193.67","2,799.55",,81.35,"7,374.94",,104.43,"16,166.28",475.75,"51,634.85","4,624.63","62,414.82","6,105.79","56,373.69","6,660.95","54,172.86","5,235.95","51,279.87","5,248.78","79,875.22","22,683.77","44,998.78",630.48,"46,710.81","2,817.85","43,661.60","2,594.15","48,033.39","5,570.34","51,066.49",106.68,"687,237.02","45,033.28","348,411.55","100,614.70","219,077.27","184,199.33","158,667.04",0.00,"2,062,822.84","394,981.88"
