,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Öhdəliklər və kapital,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,"XoV c üile mək (v lmə .) daənna, t"
,liaAndCap,tot-insLia,FXAinZsNLEiaqui-,tot-0.25,FXA0Z.N25Equi-,tot-0.5,FXAZ0N.5Equi-,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZN0Equi>6,tot-totLia,FXAtoZtNLEiaqui-
depExclBankAndMiscFinInstTot,"1o.lm Daeqplao)z,i tcləərm (ibanklar və digər maliyyə müəssisələri istisna","2,943,792.85","765,345.17",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,699.48","4,995.07","26,752.98","5,002.37","85,967.18","74,594.16","18,151.09","5,285.73","19,449.19","2,906.28","19,336.05","2,988.91","67,243.93","45,422.60","35,620.55","10,019.31","34,549.32","19,978.08","22,346.34","7,909.60","273,682.88","208,314.71","46,667.99","13,341.66","10,544.57","3,246.44",0.00,0.00,"3,625,804.40","1,169,350.09"
"reqDepofIndv
reDepOfLegEnt",ab(dq )) a ex fhy i i üz lr i o qi k -u lb i m qa şina ə q şx kə l s amxlə ) s r al v iəl n əiry i tn çy ə e ə ltə k əi b lnh əl s ib e t d s liita e ud b p tell o aa pz rr oi ıı t n zl ə ıd intr a l əcx rai i l r ( oib lhm üetsa üaq nbl a cla) arrıi da,"738,248.76
2,205,544.09","167,851.59
597,493.58","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","0.00
0.00","738,248.76
2,205,544.09","167,851.59
597,493.58"
dueTermDepOfIndv,cm) üqdadyəttalri ıdlmepao vzaitxlətır bitməmiş fiziki şəxslərin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,699.48","4,995.07","26,752.98","5,002.37","14,057.18","2,684.16","15,993.99","4,328.63","19,449.19","2,906.28","19,336.05","2,988.91","19,728.76","2,907.43","35,560.55","10,019.31","34,199.32","19,978.08","22,346.34","7,909.60","111,781.98","46,413.81","43,490.05","10,214.67","8,667.96","1,369.83",0.00,0.00,"393,063.83","121,718.15"
dueTermDepOfLegEnt,dm)ü qdadyəttalir ıdlmepao vzaitxlətır bitməmiş hüquqi şəxslərin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"71,910.00","71,910.00","2,157.10",957.10,0.00,0.00,0.00,0.00,"47,515.17","42,515.17",60.00,0.00,350.00,0.00,0.00,0.00,"161,900.90","161,900.90","3,177.94","3,126.99","1,876.61","1,876.61",0.00,0.00,"288,947.72","282,286.77"
expTermDepOfInd,em) üqdadyəttalri ıdlmepao mziütldədr əti bitmiş fiziki şəxslərin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"expTermDepOfLegEnt
CacBcLLooaron","23.. A“LMorBo-"" fmn ) hı ün q e d a skdy arə b t e at ldlr a ii ı rt ld ı m lə e (r ap bi o a m n zi k ütl l də a dr r ı ə n ti m bi ü tm xb i i ş r h h ü e q sa u b q l i a ş r ə ı) xslərin","0.00
5,359.44","0.00
5,3590..4040","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
2,1590..8070","0.00
00..0000","0.00
0.00","0.00
00..0000","0.00
25,,135599..8474","0.00
5,35X9X.4X4"
