"","","Keçən ilin müvafiq"
"","Cari dövr",""
"proLosStatem","","dövrü"
"","30.06.2020",""
"","","30.06.2020"
"1    
Faiz gəlirləri:","215843","189925"
"Müştərilərə verilmiş kreditlər
1.1    
Fai","184917","154759"
"Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri
1.2","430","68"
"1.3    
Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri","13183","13051"
"1.4    
Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri","12598","18105"
"1.5    
Digər faiz gəlirləri","4715","3942"
"2    
Faiz xərcləri:","23987","31999"
"2.1    
Fai
Depozitlər üzrə faizlər","21783","30496"
"2.2    
Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri","1","0"
"2.3    
Cəlb edilmiş kreditlərə görə ödənilən faizlər","1060","1415"
"2.4    
Pul bazarı alətlərinə ödənilən faizlər","0","0"
"2.5    
Qiymətli kağızlar üzrə faizlər","0","0"
"Qiy
2.6
Digər faiz xərcləri","1144","88"
"3
Xalis faiz gəliri(zərəri)","191856","157926"
"4
Qeyri-faiz gəlirləri:","100950","76137"
"4.1    
Alınan haqq və kommisiya gəliri","89947","63901"
"4.2    
Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla","9773","10103"
"4.3    
Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər","0","0"
"Qiy
4.4
Digər gəlirlər","1230","2133"
"5
Qeyri-faiz xərcləri:","127128","96632"
"5.1
Əmək haqqı və digər kompensiya növləri üzrə xərclər","70012","49844"
"5.2    
Ümumi və inzibati xərclər","12718","10092"
"5.3    
Amortizasiya xərcləri","8771","7727"
"5.4    
Digər xərclər","35627","28969"
"6    
(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar)","-38036","44571"
"7    
Mənfəət vergisindən əvvəlki mənfəət(zərər)","203713","92859"
"8    
Mənfəət vergisi","33158","19667"
"9    
Dövr üzrə xalis mənfəət","170556","73192"
"Dö","",""
