"Balance Sheet","",""
"Kapital Bank ""O.J.S.C.""  31.12.2020","",""
"","","(thousand AZN)"
"","",""
"Asset items","Total","In foreign currency"
"1. Cash (including banknotes, coins, cash in transit, teller machines and exchange stations), total","406 850","133 698"
"2. Claims on CBAR, total","969 979","172 646"
"3. “Nostro” accounts (correspondent accounts at other banks), total","130 566","130 566"
"4. Short-term financial instruments of inter-bank market (loans up to 7 days, including the 7th","",""
"","323 000","323 000"
"day), total","",""
"5. Deposits at financial institutions, including banks","239 891","24 693"
"6. Reverse REPO operations","39 836","0"
"7. Securities, total","635 556","169 571"
"8. Loans to banks (except for short-term inter-bank financial instruments specified in row 5),","8 500","8 500"
"9. Loans to other financial institutions, total","1 425","0"
"10. Loans to customers","2 210 329","399 959"
"10.1 (less) Specific reserves against possible losses on loans","270 307","4 429"
"10.2 Net loans (row 10 less row 10.1)","1 940 021","395 530"
"11. Fixed assets used in banking operations, excluding depreciation,total","57 615","0"
"12.  Fixed assets not used in banking operations, total","1 209","0"
"13.  Investments and financial participation (50 % + 1 voting share) in unconsolidated affiliate","4 280","0"
"14. Investments and financial participation (less than 50 % voting share) in other","5 570","4 782"
"15. Intangible assets,excluding depreciation","23 476","0"
"16.  (less) Specific reserves against possible losses on loans on off-balance assets","813","0"
"17. Other assets (excluding specific reservers)","253 606","31 660"
"Total assets","5 040 567","1 394 645"
