"","Pul vəsaitlərinin hərəkəti haqqında hesabat","",""
"","","","min manatla"
"","","Cari hesabat","Əvvəlki hesabat"
"","","dövrü","dövrü"
"","","30.09.2020","30.09.2019"
"1,00","Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"1,10","Alınmış faizlər","306 193","281 329"
"1,20","Ödənilmiş faizlər","-52 407","-39 716"
"1,30","Alınmış haqq və kommisiyalar","125 235","100 638"
"1,40","Ödənilmiş haqq və kommisiyalar","-28 848","-16 045"
"1,50","Xarici valyuta əməliyyatlarından xalis gəlir","15 388","15 948"
"1,60","Xarici valyutada törəmə maliyyə alətlərindən realizasiya olunmuş xalis gəlir","0","0"
"1,70","Ödənilmiş əmək haqqı və digər kompensasiyalar","-92 584","-66 596"
"1,80","Ödənilmiş ümumi və inzibati xərclər","-65 029","-50 953"
"1,90","Ümidsiz borclardan daxilolmalar","0","0"
"1,10","Alınmış digər əməliyyat gəlirləri","1 877","2 481"
"1,11","Ödənilmiş digər əməliyyat xərcləri","0","0"
"","Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə","",""
"2,00","","209 825","227 086"
"","pul vəsaitlərinin hərəkəti","",""
"2,10","Əməliyyat aktivlərindən xalis artım/azalma","-441 722","50 285"
"2.1.1","Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma)","-31 323","0"
"2.1.2","Müştərilərə verilmiş kreditlərdə xalis artım (azalma)","-391 657","-248 570"
"2.1.3","Digər aktivlərdə xalis artım (azalma)","-18 742","64 307"
"2,20","Əməliyyat öhdəliklərindən xalis artım/azalma","703 974","0"
"2.2.1","Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma)","212 889","-21 513"
"2.2.2","Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma)","0","0"
"2.2.3","Müştərilərin depozitləri və cari hesablarında xalis artım (azalma)","486 004","249 176"
"2.2.4","Digər öhdəliklərdəxalis artım (azalma)","5 081","-82 832"
"3,00","Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti","472 077","237 939"
"3,10","Ödənilmiş mənfəət vergisi","-3 000","-91 661"
"4,00","Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri","469 077","146 278"
"5,00","İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"5,10","Əmlak və avadanlıqların alınması və avans ödənişləri","-15 744","-14 687"
"5,20","Əmlak və avadanlıqların satılmasından daxilolmalar","1","149"
"5,30","Qeyri-maddi aktivlərin alınması","-4 428","-7 605"
"5,40","Qeyri-maddi aktivlərin satılmasından daxilolmalar","0","0"
"5,50","Alınmış dividendlər","0","0"
"5,60","Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması","-180 100","-380 716"
"5,70","Digər","-3 780","0"
"","İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin","",""
