"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","151-180","","181-210","","211-240","","241-270","","271-300","","301-330","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","o cümlədən, XV"
"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ilə (manat ekv.)"
"assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","FXAZNEqui-8-","","FXAZNEqui-15-","","FXAZNEqui-31-","","FXAZNEqui-61-","","FXAZNEqui-91-","","FXAZNEqui-121-","","FXAZNEqui-151-","","FXAZNEqui-181-","","FXAZNEqui-211-","","FXAZNEqui-241-","","FXAZNEqui-271-","","FXAZNEqui 301-","","FXAZNEqui-331-","","","","","","","","","",""
"","tot-ins","FXAZNEqui-ins","tot-1-7","FXAZNEqui-1-7","tot-8-14","","tot-15-30","","tot-31-60","","tot-61-90","","tot-91-120","","tot-121-150","","tot-151-180","","tot-181-210","","tot-211-240","","tot-241-270","","tot-271-300","","tot-301-300","","tot-331-365","","tot-1-2","FXAZNEqui-1-2","Tot-2-3","FXAZNEqui-2-3","tot-3-5","FXAZNEqui-3-5","tot>5","FXAZNEqui>5","tot-tot","FXAZNEqui-tot"
"","","","","","","14","","30","","60","","90","","120","","150","","180","","210","","240","","270","","300","","330","","365","","","","","","","","","",""
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","406 850,40","133 698,15","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","406 850,40","133 698,15"
"şöbələrində, yolda)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","944 755,03","161 433,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25 224,04","11 212,40","969 979,07","172 645,78"
"hesabları)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. “Nostro"" hesabları","97 595,56","97 595,56","0,00","0,00","0,00","0,00","299,21","299,21","239,36","239,36","1 737,66","1 737,66","4 574,50","4 574,50","1 023,41","1 023,41","1 505,00","1 505,00","14 764,71","14 764,71","0,00","0,00","4 615,67","4 615,67","3 400,00","3 400,00","501,50","501,50","309,18","309,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","130 565,76","130 565,76"
"a) Rezident banklara","19 458,18","19 458,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19 458,18","19 458,18"
"b) Qeyri-rezident banklara","78 137,38","78 137,38","0,00","0,00","0,00","0,00","299,21","299,21","239,36","239,36","1 737,66","1 737,66","4 574,50","4 574,50","1 023,41","1 023,41","1 505,00","1 505,00","14 764,71","14 764,71","0,00","0,00","4 615,67","4 615,67","3 400,00","3 400,00","501,50","501,50","309,18","309,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","111 107,58","111 107,58"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","323 000,00","323 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","323 000,00","323 000,00"
"daxil olmaqla 7 günədək olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","5 441,15","5 441,15","27 480,92","0,00","24 808,37","8 041,00","27 000,00","0,00","0,00","0,00","66 950,00","0,00","8 500,00","0,00","28 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","11 210,62","11 210,62","20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","239 891,06","24 692,77"
"a) Rezident maliyyə institutlarına","0,00","0,00","27 480,92","0,00","16 767,37","0,00","27 000,00","0,00","0,00","0,00","66 950,00","0,00","8 500,00","0,00","28 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","215 198,29","0,00"
"a1) müddəti çatmamış depozitlər","0,00","0,00","27 480,92","0,00","16 767,37","0,00","27 000,00","0,00","0,00","0,00","66 950,00","0,00","8 500,00","0,00","28 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","215 198,29","0,00"
"a2) qaytarılma müddəti bitmiş depozitlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"b) Qeyri-rezident maliyyə institutlarına","5 441,15","5 441,15","0,00","0,00","8 041,00","8 041,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11 210,62","11 210,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","24 692,77","24 692,77"
"b1) müddəti çatmamış depozitlər","5 441,15","5 441,15","0,00","0,00","8 041,00","8 041,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11 210,62","11 210,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","24 692,77","24 692,77"
"b2) qaytarılma müddəti bitmiş depozitlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"6. Əks REPO əməliyyatları üzrə","0,00","0,00","34 299,04","0,00","0,00","0,00","0,00","0,00","5 536,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39 835,90","0,00"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","156,40","156,40","0,00","0,00","2 312,00","2 312,00","6 114,70","1 479,00","16 578,00","850,00","2 087,50","425,00","15 057,20","1 472,20","16 856,30","5 268,30","4 700,70","1 453,50","5 232,90","2 194,70","11 146,90","340,00","3 528,60","1 545,30","2 550,00","2 550,00","340,00","340,00","64 667,30","5 390,70","51 090,52","10 631,05","116 132,10","116 132,10","17 030,60","17 030,60","335 581,72","169 570,85"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","67 770,49","0,00","13 956,99","0,00","73 018,15","0,00","14 318,19","0,00","0,00","0,00","2 570,45","0,00","3 000,41","0,00","2 999,99","0,00","0,00","0,00","3 542,71","0,00","3 751,91","0,00","12 310,89","0,00","0,00","0,00","15 797,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00","86 936,75","0,00","299 974,15","0,00"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
