Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",2210328.5999999996,1941279.2600000002,186556.34,24351.559999999998,12178.04,4308.450000000001,3004.67,4029.17,2442.41,2902.77,1831.3500000000001,1022.9000000000001,1200.72,1287.94,23933.019999999997
  -Biznes,597235.24,554152.64,22731.29,2480.6099999999988,175.77000000000123,350.5100000000005,148.34000000000003,1352.37,0,1199.98,6.394884621840902e-14,7.105427357601002e-14,1.4210854715202004e-13,0,14643.729999999998
  -İstehlak,1405024.4599999997,1187843.25,156751.34,21265.53,11948.15,3662.53,2589.44,2520.69,2235.95,1701.92,1799.17,985.6,1159.3799999999999,1287.94,9273.57
  -Daşınmaz əmlak,208068.89999999997,199283.37,7073.71,605.42,54.12,295.41,266.89,156.11,206.46,0.87,32.18,37.3,41.34,0,15.72
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",2210328.6,1579495.9200000002,24140.41,0,374711.9,231980.37,0,0,,,,,,,
  -Biznes,597235.24,195529.6,19080,0,150645.27000000002,231980.37,0,0,,,,,,,
  -İstehlak,1389026.73,1383966.32,5060.41,0,0,0,0,0,,,,,,,
  -Daşınmaz əmlak,224066.63,0,0,0,224066.63,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,
