"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","151-180","","181-210","","211-240","","241-270","","","271-300","","301-330","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","o cümlədən, XV"
"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ilə (manat ekv.)"
"assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","FXAZNEqui-8-","","FXAZNEqui-15-","","FXAZNEqui-31-","","FXAZNEqui-61-","","FXAZNEqui-91-","","FXAZNEqui-121-","","FXAZNEqui-151-","","FXAZNEqui-181-","","FXAZNEqui-211-","","FXAZNEqui-241-","","","FXAZNEqui-271-","","FXAZNEqui 301-","","FXAZNEqui-331-","","","","","","","","","",""
"","tot-ins","FXAZNEqui-ins","tot-1-7","FXAZNEqui-1-7","tot-8-14","","tot-15-30","","tot-31-60","","tot-61-90","","tot-91-120","","tot-121-150","","tot-151-180","","tot-181-210","","tot-211-240","","tot-241-270","","","tot-271-300","","tot-301-300","","tot-331-365","","tot-1-2","FXAZNEqui-1-2","Tot-2-3","FXAZNEqui-2-3","tot-3-5","FXAZNEqui-3-5","tot>5","FXAZNEqui>5","tot-tot","FXAZNEqui-tot"
"","","","","","","14","","30","","60","","90","","120","","150","","180","","210","","240","","270","","","300","","330","","365","","","","","","","","","",""
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","631 636,29","137 521,59","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","631 636,29","137 521,59"
"şöbələrində, yolda)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1 083 839,53","468 268,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29 686,07","10 907,34","1 113 525,60","479 175,85"
"hesabları)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. “Nostro"" hesabları","95 370,55","95 370,55","0,00","0,00","167,12","167,12","3 564,92","3 564,92","1 051,70","1 051,70","1 617,00","1 617,00","12 105,24","12 105,24","0,00","0,00","8 145,47","8 145,47","2 448,55","2 448,55","501,50","501,50","493,80","","493,80","647,59","647,59","125,34","125,34","1 044,50","1 044,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","127 283,28","127 283,28"
"a) Rezident banklara","63 220,76","63 220,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","63 220,76","63 220,76"
"b) Qeyri-rezident banklara","32 149,79","32 149,79","0,00","0,00","167,12","167,12","3 564,92","3 564,92","1 051,70","1 051,70","1 617,00","1 617,00","12 105,24","12 105,24","0,00","0,00","8 145,47","8 145,47","2 448,55","2 448,55","501,50","501,50","493,80","","493,80","647,59","647,59","125,34","125,34","1 044,50","1 044,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64 062,52","64 062,52"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"daxil olmaqla 7 günədək olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","5 441,16","5 441,16","16 748,08","0,00","52 096,73","0,00","0,00","0,00","28 500,00","0,00","5 100,00","0,00","19 550,00","2 550,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","5 100,00","0,00","31 210,62","11 210,62","0,00","0,00","0,00","0,00","0,00","0,00","183 746,59","19 201,78"
"a) Rezident maliyyə institutlarına","0,00","0,00","16 748,08","0,00","52 096,73","0,00","0,00","0,00","28 500,00","0,00","5 100,00","0,00","17 000,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","5 100,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","164 544,81","0,00"
"a1) müddəti çatmamış depozitlər","0,00","0,00","16 748,08","0,00","52 096,73","0,00","0,00","0,00","28 500,00","0,00","5 100,00","0,00","17 000,00","0,00","0,00","0,00","0,00","0,00","20 000,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","5 100,00","0,00","20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","164 544,81","0,00"
"a2) qaytarılma müddəti bitmiş depozitlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"b) Qeyri-rezident maliyyə institutlarına","5 441,16","5 441,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 550,00","2 550,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11 210,62","11 210,62","0,00","0,00","0,00","0,00","0,00","0,00","19 201,78","19 201,78"
"b1) müddəti çatmamış depozitlər","5 441,16","5 441,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 550,00","2 550,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11 210,62","11 210,62","0,00","0,00","0,00","0,00","0,00","0,00","19 201,78","19 201,78"
"b2) qaytarılma müddəti bitmiş depozitlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"6. Əks REPO əməliyyatları üzrə","0,00","0,00","3 972,92","0,00","0,00","0,00","33 107,22","0,00","37 343,86","0,00","48 412,67","0,00","63 945,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","186 782,16","0,00"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","2 087,50","425,00","15 057,20","1 472,20","13 033,00","1 445,00","5 122,30","1 875,10","4 811,30","1 773,10","11 146,90","340,00","3 528,60","1 545,30","2 550,00","2 550,00","340,00","","340,00","510,00","510,00","1 088,00","1 088,00","510,00","510,00","283 299,00","4 068,10","74 407,27","14 696,41","125 252,60","125 252,60","18 825,80","18 825,80","561 569,47","176 716,61"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","19 788,27","0,00","45 021,62","0,00","73 252,41","0,00","3 000,41","0,00","2 999,99","0,00","0,00","0,00","3 542,71","0,00","3 751,91","0,00","12 310,89","0,00","0,00","0,00","0,00","","0,00","35 902,09","0,00","0,00","0,00","1 030,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","37 500,00","0,00","238 101,00","0,00"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
