B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV
ilə (manat ekv.)"
,tot-insLia,"FXAZNEqui-
insLia",tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,"FXAZNEqui-
totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna
olmaqla), cəmi","3 160 372,23","717 144,92","1 806,90","349,62","3 876,86","317,45","52 669,34","43 906,44","46 810,41","17 158,92","21 033,72","8 814,27","16 731,89","6 358,11","31 760,50","22 710,63","188 773,29","177 419,58","63 109,22","10 159,60","21 905,62","5 707,94","17 578,84","4 924,02","19 728,20","5 143,54","19 894,15","4 643,88","29 245,60","7 036,97","73 396,90","14 538,01","36 925,05","9 353,34","0,00","0,00","0,00","0,00","3 805 618,72","1 055 687,24"
a) fiziki şəxslərin tələbli depozitlər,"632 968,01","148 825,52","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","632 968,01","148 825,52"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek
hesabları daxil olmaqla)","2 527 404,22","568 319,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 527 404,22","568 319,40"
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,"0,00","0,00","1 806,90","349,62","3 876,86","317,45","10 124,17","1 391,27","46 430,41","17 158,92","21 033,72","8 814,27","16 731,89","6 358,11","31 760,50","22 710,63","20 911,69","9 557,98","63 109,22","10 159,60","21 905,62","5 707,94","17 578,84","4 924,02","19 728,20","5 143,54","19 894,15","4 643,88","29 245,60","7 036,97","73 374,95","14 538,01","36 925,05","9 353,34","0,00","0,00","0,00","0,00","434 437,77","128 165,55"
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,"0,00","0,00","0,00","0,00","0,00","0,00","42 545,17","42 515,17","380,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","167 861,60","167 861,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","21,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","210 808,72","210 376,77"
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli depozitlər,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli depozitlər,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2. AMB-nın kreditləri,,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00","2 159,87","0,00",,"0,00","2 159,87",XXX
