"Income Statement",""
"Kapital Bank ""O.J.S.C.""  31.12.2020",""
"","(thousand AZN)"
"","From the beginning of the year up"
"Profit and loss items","to reporting date, including the"
"","reporting date"
"1.Interest and associated types of revenues, total","440183,45"
"2. Interest and associated expenditures, total","50800,48"
"3. Net interest income (loss) (row 1 less row 2)","389382,97"
"4. Non-interest income, total","216439,86"
"5. Non-interest expenses, total","267534,10"
"6. Net operating profit (loss) (row 3 plus row 4 minus row 5)","338288,73"
"7.Allowance for asset loss provisioning (expenditures),total","-25545,56"
"8. Net profit (loss) before taxes and contingent expenses related to",""
"","363834,29"
"banking activity are paid (row 6 minus row 7)",""
"9. Profit (loss) from unforeseen types of activity and from",""
"","0,00"
"adjustments in accounting for previous period, total",""
"10. Net profit (loss) before taxes  (row 8 +/- row 9)","363834,29"
"11. Taxes","61136,36"
"12. Net profit (loss) after taxes (row 10  less row 11)","302697,93"
"13. Declared dividends, amount",""
