Unnamed: 0,Kapital strukturunda dəyişikliklər haqqında hesabat,Unnamed: 1
,1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az,
1,,589059.0
,olmamalıdır),
"1,1",adi səhmlər (tam ödənilmiş paylar),185850.0
"1,2",qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,60000.0
"1,3",səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800.0
"1,4","bölüşdürülməmiş xalis mənfəət (zərər), cəmi",342409.0
1.4.1,əvvəlki illərin mənfəəti (zərəri),322339.0
1.4.2,(çıx) cari ilin zərəri,0.0
1.4.3,kapital ehtiyatları (fondları),20070.0
"1,5",digər,0.0
2,I dərəcəli kapitaldan  tutulmalar,24127.0
3,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),564933.0
4,II dərəcəli  kapital,152110.0
5,Məcmu kapital (3+4),717042.0
6,Məcmu kapitaldan tutulmalar :,11815.0
