"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",2213171.48,69785.85999999999,0.03153206185360747
1.Sənaye ,315082.18,48.24,0.00015310291429366144
1.1.1 Mədən çıxarma sənayesi,0,0,0
"1.1.2 Emal sənayesi, cəmi",270567.81,48.24,0.00017829171918122856
1.1.3 Elektrik enerjisi və Qazın istehsalı ,2500,0,0
1.1.4 Sənayenin digər sahələri,42014.37,0,0
2. Kənd təsərrüfatı,16848.98,10994.47,0.6525303015375411
3. Tikinti sahəsi,50458.8,6981.91,0.13836853036536736
"4. Nəqliyyat, cəmi",12057.79,0,0
5. İnformasiya və Rabitə,43693.13,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",69890.58,5944.53,0.08505480996151413
7. Digər qeyri-istehsal və xidmət sahələri ,85672.09,3475.73,0.040570155344640244
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",1619467.9300000002,42340.979999999996,0.026144994424187204
a) Yaşayış sahəsinin alınmasına,244612.83,1545.76,0.006319210648108687
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",244612.83,1545.76,0.006319210648108687
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,357396.86,5736.62,0.016051120314823135
f) Digər,1017458.2400000001,35058.6,0.03445704071353336
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
