Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı,Unnamed: 1,Unnamed: 2,Unnamed: 3
(min manatla),,,
Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),,
,,,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan nağd vəsaitlər daxil olmaqla), cəmi",0,0,618725.68
"2. Mərkəzi Bankda müxbir hesab, cəmi",0,0,1259124.67
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi ",0,0,97231.01
        a) Rezident banklar,0,0,1810.4399999999998
        b) Qeyri-rezident banklar,0,0,95420.56999999999
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",0,0,0
        a) Rezident banklar,0,0,0
        b) Qeyri-rezident banklar,0,0,0
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi ",190545.32,0,0
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi",190545.32,0,0
a) Rezident banklar,113100,0,0
b) Qeyri-rezident banklar,77445.32,0,0
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",0,0,0
a) Rezident maliyyə institutlarında,0,0,0
b) Qeyri-rezident maliyyə institutlarında,0,0,0
6. Əks REPO əməliyyatları üzrə ,205876.5,0,0
"7. Qiymətli kağızlar, cəmi ",1013887.3700000001,0,0
a) ödəniş müddətinədək saxlanılan,961387.3700000001,0,0
b) ticarət üçün alınmış qiymətli kağızlar,52500,0,0
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",8500,0,0
a) Rezident banklara,0,0,0
b) Qeyri-rezident banklara,8500,0,0
"9. Digər maliyyə institutlarına kreditlər, cəmi",2515.4700000000003,0,0
a) Rezident maliyyə institutlarına,2515.4700000000003,0,0
b) Qeyri-rezident maliyyə institutlarına,0,0,0
10. Müştərilərə verilən kreditlər,2225136.769999999,0,0
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",0,0,0
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar çıxılmaqla), cəmi ",-,0,0
"13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs hüququ verən səhm və ya başqa formada törəməsidirsə), cəmi",0,0,0
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-dən az), cəmi",0,0,0
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,0,0,0
17. Digər aktivlər ,0,0,0
18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün yaradılmış ehtiyatlar,0,0,264020.34
18. Cəmi aktivlər,3646461.4299999992,0,2239101.7
,,,
(min manatla),,,
Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi",1148247.3099999998,0,2522319.66
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",11282.15,0,770265.45
a1) faizsiz tələbli depozitlər,0,0,770265.45
a2) faizli tələbli depozitlər,11282.15,0,0
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla), cəmi",1136965.16,0,1752054.2100000002
b1) faizsiz tələbli depozitlər,0,0,1752054.2100000002
b2) faizli tələbli depozitlər,1136965.16,0,0
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi",739842.35,0,0
        c1) fiziki şəxslərin müddətli depozitləri,451425.62999999995,0,0
        c2) hüquqi şəxslərin müddətli depozitləri,288416.72000000003,0,0
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",2159.87,0,0
a) auksion əsasında,0,0,0
b) overdraft,0,0,0
c) təminatlı kreditlər (lombard),0,0,0
d) digər,2159.87,0,0
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",0,0,4591.26
a) Rezident banklar,0,0,4151.56
b) Qeyri-rezident banklar,0,0,439.7
4. REPO əməliyyatları  üzrə,0,0,0
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan kreditlər), cəmi",0,0,0
        a) Rezident banklar,0,0,0
        b) Qeyri-rezident banklar,0,0,0
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna edilməklə) depozitləri, cəmi",0,0,0
"6.1  Bankların depozitləri, cəmi",0,0,0
a) Rezident banklar,0,0,0
b) Qeyri-rezident banklar,0,0,0
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri, cəmi",135347.09000000003,0,0
a) Rezident maliyyə institutları,133943.09000000003,0,0
b) Qeyri-rezident maliyyə institutları,1404,0,0
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi",0,0,0
"7.1 Rezident banklar, cəmi",0,0,0
a) təminatlı,0,0,0
b) təminatsız,0,0,0
