"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ilə (manat ekv.)"
"assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","FXAZNEqui-8-","","","FXAZNEqui-15-","","","FXAZNEqui-31-","","","FXAZNEqui-61-","","","FXAZNEqui-91-","","","FXAZNEqui-121-","","","FXAZNEqui-151-","","","FXAZNEqui-181-","","","FXAZNEqui-211-","","","FXAZNEqui-241-","","","FXAZNEqui-271-","","","FXAZNEqui 301-","","","FXAZNEqui-331-","","","","","","","","","","",""
"","tot-ins","FXAZNEqui-ins","tot-1-7","FXAZNEqui-1-7","tot-8-14","","","tot-15-30","","","tot-31-60","","","tot-61-90","","","tot-91-120","","","tot-121-150","","","tot-151-180","","","tot-181-210","","","tot-211-240","","","tot-241-270","","","tot-271-300","","","tot-301-300","","","tot-331-365","","","tot-1-2","FXAZNEqui-1-2","Tot-2-3","FXAZNEqui-2-3","tot-3-5","FXAZNEqui-3-5","tot>5","FXAZNEqui>5","tot-tot","FXAZNEqui-tot"
"","","","","","","14","","","30","","","60","","","90","","","120","","","150","","","180","","","210","","","240","","","270","","","300","","","330","","","365","","","","","","","","","","",""
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","685 471","248 879","0","","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","685 471","248 879"
"şöbələrində, yolda)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1 059 429","314 566","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","29 233","10 955","1 088 662","325 521"
"hesabları)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
