,Maliyyə vəziyyəti haqqında hesabat,,
,,,min manatla
,,,Keçən ilin müvafiq
,finSitStatem,Hesabat dövrü,
,,,dövrü
,,31.12.2021,31.12.2020
1,Aktivlər:,6 709 523,5 227 472
"1,1","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait",2 505 811,1 872 445
"1,2",Ticarət və investisiya qiymətli kağızları,1 113 589,799 670
"1,3",Banklar və digər maliyyə institutlarındakı depozitlər,389 857,370 529
"1,4",Banklar və digər maliyyə institutlarına verilən kreditlər,70 190,10 425
"1,5",Müştərilərə verilmiş kreditlər,2 652 560,2 175 951
1.5.1,a) istehlak kreditləri,1 602 384,1 365 845
1.5.2,b) biznes kreditləri,759 207,582 077
1.5.3,c) daşınmaz əmlak kreditləri,290 970,228 029
1.5.4,d) digər kreditlər,0,0
1.5.5,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat),-371 475,-274 782
1.5.6 Müştərilərə verilmiş kreditlər (xalis),,2 281 085,1 901 168
"1,6",Əmlak və avadanlıqlar,62 973,61 639
"1,7",Qeyri-maddi aktivlər,26 280,24 291
"1,8",Təxirə salınmış vergi aktivləri,6 899,310
"1,9",Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat,-22 756,47
1.10,Digər aktivlər,275 596,186 947
2,Öhdəliklər:,6 061 327,4 593 277
"2,1",Depozitlər,5 192 419,3 805 619
2.1.1,a) fiziki şəxslərin depozitləri,1 164 558,1 067 406
2.1.2,b) hüquqi şəxslərin depozitləri,4 027 861,2 738 213
"2,2",Mərkəzi bank və dövlət fondları qarşısında öhdəliklər,1 620,2 160
"2,3",Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər,434 962,357 412
"2,4",Borc qiymətli kağızları,0,0
"2,5",Cari vergi öhdəlikləri,8 531,5 345
"2,6",Təxirə salınmış vergi öhdəliyi,0,0
"2,7",Subordinasiya borc öhdəlikləri,59 500,59 500
"2,8",Digər öhdəliklər,364 295,363 242
3,Kapital:,648 196,634 195
"3,1",Səhmdar kapitalı,245 850,245 850
"3,2",Səhmin qiymətinin dəyişməsindən gəlir (zərər),800,800
"3,3",Bölüşdürülməmiş mənfəət,363 045,354 019
"3,40",Ümumi ehtiyatlar:,38 501,33 526
3.4.1,"a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar",30 226,28 194
3.4.2,b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar,1 435,1 435
3.4.3,c) digər ümumi ehtiyatlar,6 840,3 897
4,Cəmi öhdəliklər və kapital,6 709 523,5 227 472
