"Bank kapitalının strukturu və adekvatlığı barədə məlumatlar",""
"","(min manatla)"
"1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az olmamalıdır)","429733"
"a) Adi səhmlər (tam ödənilmiş paylar)","185850"
"b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər","60000"
"c) Səhmlərin emissiyasından əmələ gələn  əlavə vəsait","800"
"d)   Bölüşdürülməmiş xalis mənfəət (zərər), cəmi","183083"
"d1) əvvəlki illərin mənfəəti (zərəri)","163012"
"d2) (çıx) cari ilin zərəri","0"
"d3) kapital ehtiyatları (fondları)","20070"
"e) Digər","0"
"2. I dərəcəli kapitaldan  tutulmalar","26280"
"a) Qeyri-maddi aktivlər","26280"
"b) Təxirə salınmış vergi aktivləri","0"
"3. Tutulmalardan  sonra I dərəcəli kapitalı (I—2)","403453"
"4. II dərəcəli  kapital (I dərəcəli  kapitalın  məbləğindən çox olmamalıdır)","276488"
"a) Cari ilin mənfəəti","179963"
"b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox olmamaqla)","30226"
"c)  Kapitalın digər komponentləri","66300"
"c1) kumulyativ müddətsiz imtiyazlı səhmlər","0"
"c2) subordinasiya borc öhdəlikləri","66300"
"d) Digər vəsaitlər","0"
"5. Məcmu kapital (3+4)","679941"
"6. Məcmu kapitaldan tutulmalar :","20004"
"a)   Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə","8540"
"b)    Bütün digər investisiyalar (xalis)","11464"
"7. Tutulmalardan  sonra məcmu kapital (5-6)","659937"
"8. Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər*","4266735"
"8.1. 0%-lik risk qrupuna daxil olan aktivlər","0"
"8.2. 20%-lik risk qrupuna daxil olan aktivlər","344280"
"8.3. 35%-lik risk qrupuna daxil olan aktivlər","84082"
"8.4. 50%-lik risk qrupuna daxil olan aktivlər","515787"
"8.5.  75%-lik risk qrupuna daxil olan aktivlər","0"
"8.6.  100%-lik risk qrupuna daxil olan aktivlər","1408252"
"8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər","1901272"
"*risk qruplarının tərkibi ""Bank kapitalının və onun adekvatlığının hesablanması Qaydaları"" ilə müəyyən olunur.",""
