B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV 
ilə (manat ekv.)"
,tot-insLia,"FXAZNEqui-
insLia",tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,"FXAZNEqui-
totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna 
olmaqla), cəmi",4 453 488,758 169,1 053,220,3 782,451,58 254,43 882,55 674,3 633,31 183,6 247,27 813,7 989,34 865,21 799,188 112,172 934,65 309,6 225,25 761,5 557,26 002,5 547,21 397,5 310,10 876,2 303,15 283,5 819,65 736,9 371,67 343,16 520,40 488,55,0,0,5 192 419,1 072 031
a) fiziki şəxslərin tələbli depozitlər,650 887,159 844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650 887,159 844
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank 
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek 
hesabları  daxil olmaqla)",3 766 620,590 216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 766 620,590 216
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,35 981,8 109,1 053,220,3 782,451,9 103,1 366,39 880,3 633,15 699,6 247,27 813,7 989,34 865,21 799,20 200,5 072,65 309,6 225,25 761,5 557,26 002,5 547,18 497,5 310,10 876,2 303,15 283,5 819,55 736,9 371,67 343,16 520,40 488,55,0,0,513 671,111 594
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,0,0,0,0,0,0,49 151,42 515,15 794,0,15 484,0,0,0,0,0,167 913,167 862,0,0,0,0,0,0,2 900,0,0,0,0,0,10 000,0,0,0,0,0,0,0,261 242,210 377
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. AMB-nın kreditləri,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1 620,0,,0,1 620,XXX
