Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,4943776.550000001
1.1,0-3 ay,692942.63
1.2,3-6 ay,520255.47
1.3,6-12 ay,1013797.0
1.4,12-24 ay,1424481.690000001
1.5,24-36 ay,557384.76
1.6,36 aydan yuxarı,734915.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,3185994.4799999995
2.1,0-3 ay,1745974.0799999998
2.2,3-6 ay,241024.21999999977
2.3,6-12 ay,440194.0
2.4,12-24 ay,218775.91999999987
2.5,24-36 ay,180761.25999999983
2.6,36 aydan yuxarı,359265.0
3.0,“Qəp”,1757782.070000002
3.1,0-3 ay,-1053031.4499999997
3.2,3-6 ay,279231.25000000023
3.3,6-12 ay,573603.0
3.4,12-24 ay,1205705.7700000012
3.5,24-36 ay,376623.5000000002
3.6,36 aydan yuxarı,375650.0
