Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,2025837.05,82242.08,456000.42,395727.97,563116.64,460681.51,1424482.190000001,1035325.04,491272.2775000001,6934685.177500001
1.1,Nağd pul və ekvivalentləri,1797384,0,0,0,0,0,0,0,31999.4,1829383.4
1.2,Qiymətli kağızlar,0,9900.69,217806,137097,324079,165701,253389.60000000003,418941,196179,1723093.29
1.3,Müştərilərə verilmiş kreditlər (xalis),26650.93,28779.39,177286.47,240140.23,219486,209750,1108592.090000001,550297.9,342555.89,2903538.9000000013
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,5950,0,0,10000,58049,0,11010.54,0,85009.54000000001
1.5,Qısamüddətli maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,9774.869999999999,37612,60700,17000,8500,19000,62500.5,55075.6,0,270162.97
1.8,"“Nostro"" hesabları ",192027.25,,207.95,1490.74,1051.64,8181.51,0,0,,202959.09000000003
1.9,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,,,,434848.01249999995,
1.9.1,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,355386,355386
2,Öhdəliklər,5069877.82,5067.510000000003,291258,137857,72349.53,160369.9,144269.3,167532.3,886103.48,6934684.84
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,1619.9,0,1619.9
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,0,48326,25845,91.53,17000,69762.49999999999,63917.5,270499.56,495442.08999999997
2.3,Müştərilərin depozitləri:,4724629.7299999995,5067.510000000003,242932,112012,72258,143369.9,74506.8,101994.9,0,5476770.84
2.3.1,tələbli depozitlər,4723836.8,0,0,0,0,0,0,0,0,4723836.8
2.3.2,müddətli depozitlər,792.93,5067.510000000003,242932,112012,72258,143369.9,74506.8,101994.9,0,752934.04
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,68000,68000
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",4910.070000000001,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,340338.02,0,0,0,0,0,0,0,0,340338.02
2.8,Kapital,,,,,,,,,547603.9199999999,
3,"Likvidlik ""qəpi""",-3044040.7700000005,77174.56999999999,164742.41999999998,257870.96999999997,490767.11,300311.61,1280212.890000001,867792.74,-394831.2024999999,0.33750000037252903
