Valyuta riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,min manatla,Unnamed: 6
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,6959823.15,5251414.599999999,1620489.0299999998,76901.80999999998,11017.71
1.1,Nağd və nağd pul ekvivalentləri,2032341.3,1459336.95,487355.22,74839.45,10809.68
1.2,Qiymətli kağızlar,1712097.3699999999,1065175.15,646922.22,0,0
1.3,Müştərilərə verilmiş kreditlər,2524514.49,2087874.9900000002,435846.05,793.4499999999999,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,355172.92,321938.94,33233.98,0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,0,0,0,0,0
1.7,Əsas vəsaitlər,91400.02,91400.02,0,0,0
1.8,Digər aktivlər,244297.05,225688.55,17131.56,1268.91,208.03
2,Öhdəliklər,6387080.270000001,4896986.96,1403578.82,75911.14,10603.35
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,1619.9,1619.9,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,700880.2,282059.72,417150.61,554.13,1115.74
2.3,Müştərilərin depozitləri,5276245.18,4282620.28,909107.13,75090.71,9427.06
2.3.1,a) tələbli depozitlər,4714332.680000001,3851460.4400000004,778354.47,75090.70999999999,9427.06
2.3.2,b) müddətli depozitlər,561912.5,431159.83999999997,130752.66,0,0
2.4,Subordinasiya öhdəlikləri,68000,0,68000,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0
2.6,Digər öhdəliklər,340334.99,330687.06,9321.08,266.3,60.55
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,,,0.08791508709425311,-0.012884351292833378,0.0006293721577687366
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),0.08865682238357311,,,,
3.2,Qapalı valyuta üzrə məcmu AVM,-0.0001596885271391971,,,,
3.3,Qiymətli metallar üzrə AVM,0,,,,
3.4,Məcmu AVM,0.08849713385643392,,,,
