"","Kapital strukturunda dəyişikliklər haqqında hesabat","","","",""
"","min manatla","","","",""
"1","2","3","4","5","6"
"1. Adi Səhmlər","1","185850","0","0","185850"
"2. Müddətsiz İmtiyazlı Səhmlər","2","60000","0","0","60000"
"3. Geriyə alınmış adi səhmlər","3","0","0","0","0"
"4. Geriyə alınmış müddətsiz imtiyazlı səhmlər","4","0","0","0","0"
"5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq","5","800","0","0","800"
"6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri","","","","",""
"","6","0","0","0","0"
"arasındakı fərq","","","","",""
"7. Dividendlər","7","X","X","153275","153275"
"a) ödənilmiş adi səhmlər üzrə elan olunmuş dividendlər","7a","X","X","144275","144275"
"b) ödənilmiş müddətsiz imtiyazlı səhmlər üzrə elan olunmuş","","","","",""
"","7b","X","X","9000","9000"
"dividendlər","","","","",""
"8. Bölüşdürülməmiş xalis mənfəət (zərər)","8","363045","0","57334","420379"
"a) Əvvəlki illərin xalis mənfəəti (zərəri)","8a","342975","0","-153275","189699"
"b) Cari ilin xalis mənfəət (zərəri)","8b","X","X","210609","210609"
"c) Kapital ehtiyatları","8c","20070","0","0","20070"
"9. Ümumi ehtiyatlar","9","38501","0","10543","49044"
"a) kreditlərdən və banklararası  tələblər üzrə mümkün zərərlərin","","","","",""
"ödənilməsi üçün adi ehtiyatlar","9a","14148","0","9812","23960"
"b) digər aktivlərdən olan mümkün zərərlərin ödənilməsi üçün adi","","","","",""
"ehtiyatlar","9b","16078","0","1513","17590"
"c) əsas vəsaitlərin yenidən qiymətləndirilməsi","9c","1435","0","-96","1338"
"d) digər ümumi ehtiyatlar","9d","6840","0","-685","6155"
"10. Cəmi kapital","10","648196","0","67877","716073"
