A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
assets,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV 
ilə (manat ekv.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,"FXAZNEqui-8-
14",tot-15-30,"FXAZNEqui-15-
30",tot-31-60,"FXAZNEqui-31-
60",tot-61-90,"FXAZNEqui-61-
90",tot-91-120,"FXAZNEqui-91-
120",tot-121-150,"FXAZNEqui-121-
150",tot-151-180,"FXAZNEqui-151-
180",tot-181-210,"FXAZNEqui-181-
210",tot-211-240,"FXAZNEqui-211-
240",tot-241-270,"FXAZNEqui-241-
270",tot-271-300,"FXAZNEqui-271-
300",tot-301-300,"FXAZNEqui 301-
330",tot-331-365,"FXAZNEqui-331-
365",tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi 
şöbələrində, yolda)",878 922,195 054,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878 922,195 054
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir 
hesabları)",617 429,85 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 307,54 209,857 736,139 511
"3. “Nostro"" hesabları",64 454,64 454,0,0,0,0,170,170,269,269,1 631,1 631,2 423,2 423,0,0,7 509,7 509,340,340,35,35,0,0,0,0,340,340,2 471,2 471,0,0,0,0,0,0,0,0,79 643,79 643
a) Rezident banklara,3 110,3 110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 110,3 110
b) Qeyri-rezident banklara,61 344,61 344,0,0,0,0,170,170,269,269,1 631,1 631,2 423,2 423,0,0,7 509,7 509,340,340,35,35,0,0,0,0,340,340,2 471,2 471,0,0,0,0,0,0,0,0,76 533,76 533
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də 
daxil olmaqla 7 günədək olanlar)",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",9 807,9 807,77 454,52 454,0,0,0,0,0,0,0,0,0,0,2 000,0,34 000,0,25 500,0,8 500,0,18 500,0,20 000,0,0,0,303 000,0,54 000,0,35 075,0,0,0,0,0,587 836,62 261
a) Rezident maliyyə institutlarına,0,0,25 000,0,0,0,0,0,0,0,0,0,0,0,2 000,0,34 000,0,25 500,0,8 500,0,18 500,0,20 000,0,0,0,303 000,0,54 000,0,35 075,0,0,0,0,0,525 575,0
a1) müddəti çatmamış depozitlər,0,0,25 000,0,0,0,0,0,0,0,0,0,0,0,2 000,0,34 000,0,25 500,0,8 500,0,18 500,0,20 000,0,0,0,303 000,0,54 000,0,35 075,0,0,0,0,0,525 575,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,9 807,9 807,52 454,52 454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62 261,62 261
b1) müddəti çatmamış depozitlər,9 807,9 807,52 454,52 454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62 261,62 261
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,21 269,0,17 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 622,0,0,0,0,0,0,0,0,0,0,0,0,0,61 897,0
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli 
kağızlara investisiyalar",0,0,19 954,0,12 794,0,28 363,0,246 324,850,93 638,86 615,151 253,86 161,75 719,0,20 259,15,19 985,0,30 360,0,3 886,374,33 479,0,959,0,15 977,0,411 325,238 442,235 950,113 120,219 017,118 847,5 325,0,1 624 566,644 424
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün 
qiymətli kağızlar",0,0,0,0,0,0,0,0,20 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82 032,82 032,0,0,0,0,0,0,213 952,0,315 984,82 032
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri 
istisna olmaqla, banklara kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 000,0,0,0,0,0,0,0,40 000,0,8 500,8 500,0,0,0,0,0,0,0,0,0,0,65 500,8 500
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 000,0,0,0,0,0,0,0,40 000,0,8 500,8 500,0,0,0,0,0,0,0,0,0,0,65 500,8 500
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 000,0,0,0,0,0,0,0,40 000,0,0,0,0,0,0,0,0,0,0,0,0,0,57 000,0
a2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,0,0,0,0,0,0,0,0,8 500,8 500
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla, 
digər maliyyə institutlarına kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 983,0,0,0,3 395,0,0,0,0,0,5 379,0
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 983,0,0,0,3 395,0,0,0,0,0,5 379,0
a1) Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 983,0,0,0,3 395,0,0,0,0,0,5 379,0
a2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
11. Müştərilərə verilən kreditlər,22 400,1 141,23 085,240,11 412,1,42 266,18 942,84 360,2 653,97 516,1 318,99 568,25 130,84 901,849,79 114,784,72 877,120,68 317,3 325,70 692,822,95 361,25 128,59 462,830,68 706,786,1 263 410,239 967,427 944,35 206,177 705,6 293,385 047,1 207,3 234 143,364 741
