Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
B. Öhdəliklər və kapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,181-210 211-240,,241-270,,271-300,,301-330,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"o cümlədən, XV"
,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi XV (manat ekv.) Cəmi XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilə (manat ekv.)
liaAndCap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FXAZNEqui-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FXAZNEqui-
,tot-insLia,,tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7 FXAZNEqui-7 tot-8 FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12 FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,,
,,insLia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totLia
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 360 838,788 808,3 561,1 007,4 423,1 631,13 459,2 781,26 236,4 277,21 466,4 629,79 880,46 457,58 512,3 718,14 072,5 189,58 332 4 158 33 212 20 522,192 174,171 792,65 520,5 659,28 060,6 054,36 385 5 471,93 100,16 517,50 510,9 228,41 181,351,,0 0,6 180 921,,1 098 249
"olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,1 382 779,220 576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 382 779,,220 576
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek,3 974 148,567 889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 974 148,,567 889
hesabları  daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,3 911,343,3 561,1 007,4 423,1 631,10 309,2 781,25 036,4 277,16 466,4 629,16 365,3 942,58 512,3 718,14 072,5 189,27 332 4 158 33 012 20 522,24 313,3 930,65 520,5 659,28 060,6 054,36 385 5 471,83 100,16 517,50 510,9 228,41 181,351,,0 0,542 067,,99 407
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,,0 0,,0 0,,0 0,,3 150 0,,1 200 0,,5 000 0,63 515,42 515,,0 0,,0 0,31 000 0 200 0,167 862,167 862,,0 0,,0 0,0 0,10 000,0,,0 0,,0 0,,0 0,281 927,,210 377
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli depozitlər,,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli depozitlər,,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
2. AMB-nın kreditləri,,0,,0,,0,,0,,0,,0,,0,,0,,0,0 0,,0,,0,,0,0,,0,1 620,0,,0,,0,,1 620,XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)",4 464,4 464,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,4 464,4 464
a) Rezident bankların,4 230,4 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 230,4 230
b) Qeyri-rezident bankların,235,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,235
4. REPO əməliyyatları üzrə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
ci gün də daxil olmaqla 7 günədək  olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,,0 0,,0 0,1 776,1 776,,0 0,,0 0,,0 0,,0 0,,0 0,34 000,34 000,25 500 25 500 8 500 8 500,18 636,18 636,20 001,20 001,,0 0,0 0,54 001,54 001,41 330,35 105,8 537,8 500,,0 0,212 280,,206 018
a) Rezident maliyyə institutları,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,34 000,34 000,25 500 25 500 8 500 8 500,18 636,18 636,20 001,20 001,,0 0,0 0,54 001,54 001,41 330,35 105,8 537,8 500,,0 0,210 504,,204 242
b) Qeyri-rezident maliyyə institutları,,,,0 0,1 776,1 776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 776,1 776
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,,0 0,0 0 0 0,,0 0,,0 0,,0 0,0 0,,0 0,,0 0,,0 0,,0 0,,0,0
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
