Kreditlərin təsnifləşdirilməsi haqqında məlumatlar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
(min manatla),,,,,,
,Məbləğ,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,Yaradılmış adi ehtiyatın kredit portfelində  payı (faizlə),Yaradılmış məqsədli ehtiyat,Yaradılmış məqsədli ehtiyatın kredit portfelində payı (faizlə)
"1. Cəmi kredit portfeli, o cümlədən",3234143.1500000004,X,23017.0409,0.007116889955845028,378910.48750000005,0.1171594669518571
1.1.Standart kreditlər,1614600.4100000001,0.4992359135370987,23017.0409,0.007116889955845028,X,X
1.1.1. Qənaətbəxş kreditlər,1397921.6600000001,0.43223864719779026,16661.5009,0.005151751214228102,X,X
1.1.2. Nəzarət altında olan kreditlər,216678.75,0.06699726633930844,6355.54,0.0019651387416169254,X,X
1.2. Qeyri-standart kreditlər,1324890.33,0.4096572936173218,X,X,378910.48750000005,0.1171594669518571
Qeyri-qənaətbəxş,1254033.59,0.3877483252403345,X,X,313508.3975,0.09693708131008362
Təhlükəli,10909.3,0.003373165470427615,X,X,5454.65,0.0016865827352138074
Ümidsiz,59947.44,0.018535802906559654,X,X,59947.44,0.018535802906559654
1.3. Ehtiyat yaradılmayan kreditlər,294652.41,0.0911067928455795,X,X,X,X
