"","","dövrü","hesabat dövrü"
"","","31.12.2022","31.12.2021"
"1","Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"1,1","Alınmış faizlər","626.649","441.084"
"1,2","Ödənilmiş faizlər","-84.855","-42.376"
"1,3","Alınmış haqq və kommisiyalar","328.612","289.545"
"1,4","Ödənilmiş haqq və kommisiyalar","-120.843","-80.058"
"1,5","Xarici valyuta əməliyyatlarından xalis gəlir","48.554","30.238"
"1,6","Xarici valyutada törəmə maliyyə alətlərindən realizasiya olunmuş xalis gəlir","0","0"
"1,7","Ödənilmiş əmək haqqı və digər kompensasiyalar","0","0"
"1,8","Ödənilmiş ümumi və inzibati xərclər","-184.267","-103.528"
"1,9","Ümidsiz borclardan daxilolmalar","0","0"
"1,1","Alınmış digər əməliyyat gəlirləri","6.078","4.875"
"1,11 Ödənilmiş digər əməliyyat xərcləri","","-163.115","-137.780"
"","Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti","",""
"2","","",""
"","üzrə pul vəsaitlərinin hərəkəti","",""
"2,1","Əməliyyat aktivlərindən xalis artım/azalma","-978.419","-464.776"
"2.1.1 Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma)","","2.375","-58.500"
"2.1.2 Müştərilərə verilmiş kreditlərdə xalis artım (azalma)","","-571.561","-493.062"
"2.1.3 Digər aktivlərdə xalis artım (azalma)","","-293.977","-49.472"
"2,2","Əməliyyat öhdəliklərindən xalis artım/azalma","913.273","1.435.587"
"","Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım","",""
"2.2.1","","123.403","77.589"
"","(azalma)","",""
"2.2.2 Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma)","","-540","-540"
"2.2.3 Müştərilərin depozitləri və cari hesablarında xalis artım (azalma)","","913.513","1.392.200"
"2.2.4 Digər öhdəliklərdəxalis artım (azalma)","","-123.103","-33.662"
"3","Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti","391.667","1.372.811"
"3,1","Ödənilmiş mənfəət vergisi","-31.500","-82.000"
"4","Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri","360.167","1.290.811"
"5","İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"5,1","Əmlak və avadanlıqların alınması və avans ödənişləri","-27.152","-18.220"
"5,2","Əmlak və avadanlıqların satılmasından daxilolmalar","509","1.367"
"5,3","Qeyri-maddi aktivlərin alınması","-9.276","-8.490"
"5,4","Qeyri-maddi aktivlərin satılmasından daxilolmalar","0","0"
