,,,,,,Müddət ərzində,,,
Kapital Dəyişmələri,,İlin əvvəlinə qalıq,,dəqiqləşdirilmiş kumulyativ,,,,Müddətin sonuna qalıq,
,,,,,,dəyişikliklər,,,
,,,,düzəlişlər,,,,,
1,2,3,,4,,5,,6,
1. Adi Səhmlər,1,,185850,,0,,20000,,205850
2. Müddətsiz İmtiyazlı Səhmlər,2,,60000,,0,,0,,60000
3. Geriyə alınmış adi səhmlər,3,,0,,0,,0,,0
4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,4,,0,,0,,0,,0
5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq,5,,800,,0,,0,,800
6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq,6,,0,,0,,0,,0
7. Dividendlər,7,X,,X,,,153275,,153275
a) ödənilmiş adi səhmlər üzrə elan olunmuş dividendlər,7a,X,,X,,,144275,,144275
b) ödənilmiş müddətsiz imtiyazlı səhmlər üzrə elan olunmuş dividendlər,7b,X,,X,,,9000,,9000
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,,363045,,0,,154772,,517817
a) Əvvəlki illərin xalis mənfəəti (zərəri),8a,,342975,,0,,-153275,,189699
b) Cari ilin xalis mənfəət (zərəri),8b,X,,X,,,308047,,308047
c) Kapital ehtiyatları,8c,,20070,,0,,0,,20070
9. Ümumi ehtiyatlar,9,,38501,,0,,3686,,42186
a) kreditlərdən və banklararası  tələblər üzrə mümkün zərərlərin ödənilməsi üçün,,,,,,,,,
,9a,,14148,,0,,7650,,21797
adi ehtiyatlar,,,,,,,,,
b) digər aktivlərdən olan mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar,9b,,16078,,0,,-3708,,12370
c) əsas vəsaitlərin yenidən qiymətləndirilməsi,9c,,1435,,0,,-96,,1338
d) digər ümumi ehtiyatlar,9d,,6840,,0,,-159,,6681
10. Cəmi kapital,10,,648196,,0,,178457,,826653
