assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FXAZNEqui-8-,,,FXAZNEqui-15-,,FXAZNEqui-31-,,FXAZNEqui-61-,,FXAZNEqui-91-,,FXAZNEqui-,,FXAZNEqui-,,FXAZNEqui-,,FXAZNEqui-,,FXAZNEqui-,,FXAZNEqui-,,FXAZNEqui,,FXAZNEqui-,,,,,,,,,,
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,,,tot-15-30,,tot-31-60,,tot-61-90,,tot-91-120,,tot-121-150,,tot-151-180,,tot-181-210,,tot-211-240,,tot-241-270,,tot-271-300,,tot-301-300,,tot-331-365,,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365,,,,,,,,,,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"784.132,68","133.778,53","0,00",,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","784.132,68","133.778,53"
"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"575.224,61","224.099,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264.138,67","55.492,50","839.363,28","279.592,34"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. “Nostro"" hesabları","115.824,16","115.824,16","0,00","0,00","0,00",,"0,00","170,00","170,00","269,10","269,10","1.631,19","1.631,19","2.423,31","2.423,31","0,00","0,00","7.509,38","7.509,38","340,00","340,00","34,72","34,72","0,00","0,00","0,00","0,00","340,00","340,00","2.471,10","2.471,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","131.012,96","131.012,96"
a) Rezident banklara,"8.758,83","8.758,83","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.758,83","8.758,83"
