"Kapital Dəyişmələri","","İlin əvvəlinə qalıq","","","","","","",""
"","","","","dəqiqləşdirilmiş","","dəyişikliklər","","qalıq",""
"","","","","kumulyativ düzəlişlər","","","","",""
"1","2","3","","4","","5","","6",""
"1. Adi Səhmlər","1","","205850","","0","","0","","205850"
"2. Müddətsiz İmtiyazlı Səhmlər","2","","60000","","0","","0","","60000"
"3. Geriyə alınmış adi səhmlər","3","","0","","0","","0","","0"
"4. Geriyə alınmış müddətsiz imtiyazlı səhmlər","4","","0","","0","","0","","0"
"5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq","","","800","","0","","0","","800"
"6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq","","","0","","0","","0","","0"
"7. Dividendlər","7","X","","X","","","9000","","9000"
"a) ödənilmiş adi səhmlər üzrə elan","","","","","","","","",""
"","7a","X","","X","","","","","0"
"olunmuş dividendlər","","","","","","","","",""
"b) ödənilmiş müddətsiz imtiyazlı səhmlər","","","","","","","","",""
"","7b","X","","X","","","9000","","9000"
"üzrə elan olunmuş dividendlər","","","","","","","","",""
"8. Bölüşdürülməmiş xalis mənfəət (zərər)","8","","517817","","0","","74519","","592336"
"a) Əvvəlki illərin xalis mənfəəti (zərəri)","8a","","497747","","0","","-9000","","488747"
"b) Cari ilin xalis mənfəət (zərəri)","8b","X","","X","","","83519","","83519"
"c) Kapital ehtiyatları","8c","","20070","","0","","0","","20070"
"9. Ümumi ehtiyatlar","9","","42186","","0","","5354","","47540"
"a) kreditlərdən və banklararası  tələblər","","","","","","","","",""
"üzrə mümkün zərərlərin ödənilməsi üçün","9a","","21797","","0","","4518","","26316"
"adi ehtiyatlar","","","","","","","","",""
"b) digər aktivlərdən olan mümkün","","","","","","","","",""
"","9b","","12370","","0","","663","","13033"
"zərərlərin ödənilməsi üçün adi ehtiyatlar","","","","","","","","",""
"c) əsas vəsaitlərin yenidən","","","","","","","","",""
"","9c","","1338","","0","","0","","1338"
"qiymətləndirilməsi","","","","","","","","",""
"d) digər ümumi ehtiyatlar","9d","","6681","","0","","173","","6854"
"10. Cəmi kapital","10","","826653","","0","","79873","","906526"
