,,,Milli və xarici valyuta üzrə aktivlərin və öhdəliklərin ödəniş müddətlərinin bölgüsü barədə məlumat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.    Aktivlər,,,,,,,,,,,,,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilə (manat ekv.)
assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi","875.817,97","206.789,77","0,00",,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","875.817,97","206.789,77"
"şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,"277.521,79","20.742,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386.777,86","61.302,05","664.299,65","82.044,84"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. “Nostro"" hesabları","82.356,92","82.356,92","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82.356,92","82.356,92"
a) Rezident banklara,"7.439,41","7.439,41","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7.439,41","7.439,41"
