Unnamed: 0,Cəmi,XV (manat ekv.),Cəmi.1,XV (manat ekv.).1,Cəmi.2,XV (manat ekv.).2,Cəmi.3,XV (manat ekv.).3,Cəmi.4,XV (manat ekv.).4,Cəmi.5,XV (manat ekv.).5,Cəmi.6,XV (manat ekv.).6,Cəmi.7,XV (manat ekv.).7,Cəmi.8,XV (manat ekv.).8,Cəmi.9,XV (manat ekv.).9,Cəmi.10,XV (manat ekv.).10,Cəmi.11,XV (manat ekv.).11,Cəmi.12,XV (manat ekv.).12,Cəmi.13,XV (manat ekv.).13,Cəmi.14,XV (manat ekv.).14,Cəmi.15,XV (manat ekv.).15,Cəmi.16,XV (manat ekv.).16,Cəmi.17,XV (manat ekv.).17,Cəmi.18,Unnamed: 1,XV (manat ekv.).18,Cəmi.19,Unnamed: 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilə (manat ekv.)
liaAndCap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FXAZNEqui-,,FXAZNEqui-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FXAZNEqui-
,tot-insLia,,tot-0.25,,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,,FXAZNEqui>60,tot-totLia,
,,insLia,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totLia
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5.053.413,30","750.022,94","3.603,96","442,05","6.571,02","772,62","70.603,20","2.188,64","39.667,32","23.330,94","218.461,23","172.947,40","63.056,67","4.662,22","26.556,45","4.796,65","32.228,09","2.467,29","19.222,73","4.120,82","44.441,78","6.462,93","28.820,17","4.067,08","15.157,52","3.226,36","53.450,88","8.087,10","29.043,01","6.333,87","118.238,93","34.954,47","50.029,11","7.774,85","40.070,69","23,38","0,00",,"0,00","5.912.636,06","1.036.681,61"
"olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,"1.231.510,37","214.367,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.231.510,37","214.367,99"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
