Unnamed: 0,Unnamed: 1,Cari hesabat,Əvvəlki
,monFlowStatem,,
,,dövrü,hesabat dövrü
,,30/6/2023,30/6/2022
1,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
1.1,Alınmış faizlər,"337,230","267,052"
1.2,Ödənilmiş faizlər,"-49,352","-40,662"
1.3,Alınmış haqq və kommisiyalar,"186,973","155,342"
1.4,Ödənilmiş haqq və kommisiyalar,"-87,617","-55,884"
1.5,Xarici valyuta əməliyyatlarından xalis gəlir,"21,342","22,141"
1.6,Xarici valyutada törəmə maliyyə alətlərindən realizasiya olunmuş xalis gəlir,0,0
1.7,Ödənilmiş əmək haqqı və digər kompensasiyalar,0,0
1.8,Ödənilmiş ümumi və inzibati xərclər,"-120,054","-60,371"
1.9,Ümidsiz borclardan daxilolmalar,0,0
1.1,Alınmış digər əməliyyat gəlirləri,"1,369","2,638"
1.11,Ödənilmiş digər əməliyyat xərcləri,"-80,571","-95,848"
,Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə,,
2,,,
,pul vəsaitlərinin hərəkəti,,
2.1,Əməliyyat aktivlərindən xalis artım/azalma,"-506,801","-709,128"
2.1.1,Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma),0,"-8,500"
2.1.2,Müştərilərə verilmiş kreditlərdə xalis artım (azalma),"-382,692","-504,155"
2.1.3,Digər aktivlərdə xalis artım (azalma),"-67,802","-100,624"
2.2,Əməliyyat öhdəliklərindən xalis artım/azalma,"-93,677","-77,540"
,Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım,,
2.2.1,,"36,061","77,179"
,(azalma),,
2.2.2,Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),0,0
2.2.3,Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),"166,263","898,787"
2.2.4,Digər öhdəliklərdəxalis artım (azalma),"-93,677","-77,540"
3,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"-188,834","383,706"
3.1,Ödənilmiş mənfəət vergisi,"-83,063","-16,000"
4,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"-271,897","367,706"
5,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
5.1,Əmlak və avadanlıqların alınması və avans ödənişləri,"-17,264","-12,223"
5.2,Əmlak və avadanlıqların satılmasından daxilolmalar,121,261
5.3,Qeyri-maddi aktivlərin alınması,"-5,400","-2,873"
5.4,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,0
5.5,Alınmış dividendlər,0,0
5.6,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"559,708","-879,213"
5.7,Digər,"-24,176","-12,700"
,İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin,,
6,,"512,989","-906,748"
,hərəkəti,,
7,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
7.1,Digər borc öhdəliklərinin əldə olunması,0,0
7.2,Digər borc öhdəliklərinin ödənilməsi,0,0
7.3,Subordinasiya borclarının əldə olunması,0,0
7.4,Səhmdar kapitalının buraxılmasından daxilolmalar,0,0
7.5,Ödənilmiş dividentlər,"-141,660","-137,948"
7.6,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,0
8,Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,"-141,660","-137,948"
9,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,565,469","2,740,198"
10,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"99,599","-676,089"
11,Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri,167,901
12,Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,665,068","2,064,109"
