Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,FXAZNEqui-8-,Unnamed: 8,Unnamed: 9,FXAZNEqui-15-,Unnamed: 10,Unnamed: 11,FXAZNEqui-31-,Unnamed: 12,Unnamed: 13,FXAZNEqui-61-,Unnamed: 14,Unnamed: 15,FXAZNEqui-91-,Unnamed: 16,Unnamed: 17,FXAZNEqui-,Unnamed: 18,Unnamed: 19,Unnamed: 20,FXAZNEqui-.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,FXAZNEqui-.2,Unnamed: 24,Unnamed: 25,Unnamed: 26,FXAZNEqui-.3,Unnamed: 27,Unnamed: 28,Unnamed: 29,FXAZNEqui-.4,Unnamed: 30,Unnamed: 31,Unnamed: 32,FXAZNEqui-.5,Unnamed: 33,Unnamed: 34,Unnamed: 35,FXAZNEqui 301-,Unnamed: 36,Unnamed: 37,FXAZNEqui-.6,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,tot-ins,FXAZNEqui-ins,tot-1-7,,FXAZNEqui-1-7,tot-8-14,,,tot-15-30,,,tot-31-60,,,tot-61-90,,,tot-91-120,,,tot-121-150,,,,tot-151-180,,,,tot-181-210,,,,tot-211-240,,,,tot-241-270,,,,tot-271-300,,,,tot-301-300,,,tot-331-365,,,,tot-1-2,,FXAZNEqui-1-2,Tot-2-3,,FXAZNEqui-2-3,tot-3-5,,FXAZNEqui-3-5,tot>5,,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,,,14,,,30.0,,,60.0,,,90.0,,,120.0,,,121-150,,,,151-180,,,,181-210,,,,211-240,,,,241-270,,,,271-300,,,,330.0,,,331-365,,,,,,,,,,,,,,,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"849,969","170,580",0,,,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"849,969","170,580"
"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"429,204","28,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"415,909",,"60,708","845,113","88,852"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. “Nostro"" hesabları","61,564","61,564",0,,0,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"61,564","61,564"
a) Rezident banklara,"7,279","7,279",0,,0,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"7,279","7,279"
b) Qeyri-rezident banklara,"54,285","54,285",0,,0,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"54,285","54,285"
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"280,286",,"257,486",0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"280,286","257,486"
gün də daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19,264","19,264",0,,0,"1,081",,"1,081",0,,0.0,"2,000",,0.0,"21,700",,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,"8,480",,"8,480",,"34,000",,,0.0,,0.0,,0.0,"17,000",,,0.0,,0.0,0.0,,0.0,,0.0,"82,275",,0,,0.0,0,,0.0,0,0,,0,"185,799","28,824"
cəmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident maliyyə institutlarına,0,0,0,,0,0,,0,0,,0.0,"2,000",,0.0,"21,700",,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,"34,000",,,0.0,,0.0,,0.0,"17,000",,,0.0,,0.0,0.0,,0.0,,0.0,"82,275",,0,,0.0,0,,0.0,0,0,,0,"156,975",0
a1) müddəti çatmamış depozitlər,0,0,0,,0,0,,0,0,,0.0,"2,000",,0.0,"21,700",,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,"34,000",,,0.0,,0.0,,0.0,"17,000",,,0.0,,0.0,0.0,,0.0,,0.0,"82,275",,0,,0.0,0,,0.0,0,0,,0,"156,975",0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,,0,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,,,,0,0
b) Qeyri-rezident maliyyə institutlarına,"19,264","19,264",0,,0,"1,081",,"1,081",0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,"8,480",,"8,480",,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"28,824","28,824"
b1) müddəti çatmamış depozitlər,"19,264","19,264",0,,0,"1,081",,"1,081",0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,"8,480",,"8,480",,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"28,824","28,824"
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,,0,0,,0,0,,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,"103,160",,0,"29,581",,0,"3,934",,0.0,0,,0.0,0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0,,0,,0,,,0.0,,0.0,,0.0,0,,,0.0,,0.0,0.0,,0.0,,0.0,0,,0,,0.0,0,,0.0,0,0,,0,"136,674",0
