1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən az olmamalıdır),"613,367"
a) Adi səhmlər (tam ödənilmiş paylar),"205,850"
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,"60,000"
c) Səhmlərin emissiyasından əmələ gələn əlavə vəsait,800
"d) Bölüşdürülməmiş xalis mənfəət (zərər), cəmi","346,717"
d1) əvvəlki illərin mənfəəti (zərəri),"326,647"
d2) (çıx) cari ilin zərəri,0
d3) kapital ehtiyatları (fondları),"20,070"
e) Digər,0
2. I dərəcəli kapitaldan tutulmalar,"25,960"
a) Qeyri-maddi aktivlər,"25,960"
b) Təxirə salınmış vergi aktivləri,0
3. Tutulmalardan sonra I dərəcəli kapitalı (I—2),"587,407"
4. II dərəcəli kapital (I dərəcəli kapitalın məbləğindən çox olmamalıdır),"279,090"
a) Cari ilin mənfəəti,"182,012"
"b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox
olmamaqla)","49,478"
c) Kapitalın digər komponentləri,"47,600"
c1) kumulyativ müddətsiz imtiyazlı səhmlər,0
c2) subordinasiya borc öhdəlikləri,"47,600"
d) Digər vəsaitlər,0
5. Məcmu kapital (3+4),"866,497"
6. Məcmu kapitaldan tutulmalar :,"74,554"
"a) Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə
idarələrinin kapitalına və bütün qeyri-bank müəssisələrinə kapital investisiyaları, o cümlədən
qarşılıqlı investisiyalar (xalis)","63,090"
b) Bütün digər investisiyalar (xalis),"11,464"
7. Tutulmalardan sonra məcmu kapital (5-6),"791,943"
8. Risk dərəcəsi üzrə ölçülmuş yekun aktivlər*,"5,676,895"
8.1. 0%-lik risk qrupuna daxil olan aktivlər,
8.2. 20%-lik risk qrupuna daxil olan aktivlər,"471,179"
8.3. 35%-lik risk qrupuna daxil olan aktivlər,"137,828"
8.4. 50%-lik risk qrupuna daxil olan aktivlər,"711,998"
8.5. 75%-lik risk qrupuna daxil olan aktivlər,
8.6. 100%-lik risk qrupuna daxil olan aktivlər,"1,835,695"
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,"2,520,195"
