Milli və xarici valyuta üzrə aktivlərin və öhdəliklərin ödəniş müddətlərinin bölgüsü barədə məlumat,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
A.    Aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60 ,,61-90 ,,91-120 ,,121-150 ,,151-180 ,,181-210 ,,211-240 ,,241-270 ,,271-300 ,,301-330 ,,331-365 (366) ,,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
assets,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV ilə (manat ekv.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-14,tot-15-30,FXAZNEqui-15-30,tot-31-60,FXAZNEqui-31-60,tot-61-90,FXAZNEqui-61-90,tot-91-120,FXAZNEqui-91-120,tot-121-150,FXAZNEqui-121-150,tot-151-180,FXAZNEqui-151-180,tot-181-210,FXAZNEqui-181-210,tot-211-240,FXAZNEqui-211-240,tot-241-270,FXAZNEqui-241-270,tot-271-300,FXAZNEqui-271-300,tot-301-300,FXAZNEqui 301-330,tot-331-365,FXAZNEqui-331-365,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi şöbələrində, yolda)",777289.56,113231.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777289.56,113231.49
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir hesabları),21458.04999999993,16334.539999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596043.29,55261.91000000003,617501.34,71596.45
"3. “Nostro"" hesabları ",97742.12999999999,97742.12999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97742.12999999999,97742.12999999999
a) Rezident banklara,9855.75,9855.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9855.75,9855.75
b) Qeyri-rezident banklara,87886.37999999999,87886.37999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87886.37999999999,87886.37999999999
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla 7 günədək olanlar),0,0,604477.5,154477.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604477.5,154477.5
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi ",23533.550000000003,23533.550000000003,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,2000,0,17000,0,0,0,2000,0,20000,0,0,0,0,0,62275,0,0,0,0,0,0,0,160808.55,23533.550000000003
a) Rezident maliyyə institutlarına,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,2000,0,17000,0,0,0,2000,0,20000,0,0,0,0,0,62275,0,0,0,0,0,0,0,137275,0
a1) müddəti çatmamış depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,2000,0,17000,0,0,0,2000,0,20000,0,0,0,0,0,62275,0,0,0,0,0,0,0,137275,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) Qeyri-rezident maliyyə institutlarına,23533.550000000003,23533.550000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23533.550000000003,23533.550000000003
b1) müddəti çatmamış depozitlər,23533.550000000003,23533.550000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23533.550000000003,23533.550000000003
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Əks REPO əməliyyatları üzrə,0,0,164341.92,0,14390.460000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178732.38,0
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli kağızlara investisiyalar,0,0,0,0,2590,0,15724.9,0,323684.15,1700,126294.82,17000,24053.399999999998,850,19939.800000000003,3825,234174.4,195639.4,26187.800000000003,4930,36638.8,11645,63847.799999999996,4590,9306.599999999999,0,15401.099999999999,6120,8270.5,3400,321283.5,117454.7,310218.63,149276.74000000002,133041.30000000002,38845,1941.2,0,1672598.7000000002,555275.84
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün qiymətli kağızlar,0,0,4116.4,0,2887.48,0,8020.17,0,19158.67,0,14564.79,0,20232.8,0,45409.02,0,11776.47,0,27073.5,0,14952.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195430.38,0,363621.8,0
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri istisna olmaqla, banklara kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,7595,0,0,0,0,0,0,0,0,0,0,0,1700,1700,0,0,0,0,8500,8500,0,0,0,0,0,0,17795,10200
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,7595,0,0,0,0,0,0,0,0,0,0,0,1700,1700,0,0,0,0,8500,8500,0,0,0,0,0,0,17795,10200
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,7595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7595,0
a2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,1700,0,0,0,0,8500,8500,0,0,0,0,0,0,10200,10200
b) vaxtı keçmiş  kreditlər ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla, digər maliyyə institutlarına kreditlər",0,0,44.03,0,100,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,4053.63,0,0,0,0,0,0,0,493.27,0,4231.13,0,1189.2,0,0,0,0,0,10231.260000000002,0
a) cari kreditlər,0,0,44.03,0,100,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,4053.63,0,0,0,0,0,0,0,493.27,0,4231.13,0,1189.2,0,0,0,0,0,10231.260000000002,0
a1) Rezident ,0,0,44.03,0,100,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,4053.63,0,0,0,0,0,0,0,493.27,0,4231.13,0,1189.2,0,0,0,0,0,10231.260000000002,0
a2) Qeyri-rezident ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş  kreditlər ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2) Qeyri-rezident ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11. Müştərilərə verilən kreditlər,15473.289999999999,51.73,37730.74,43.29,15145.3,92.05,30070.760000000002,110.06,100159.13,847.17,109642.29,757.5,113097.27,27739.14,90352.17,843.01,92280.63,763.13,87769.69,126.98,81786.13,3247,89169.43999999999,3247.01,106033.54999999999,25688.54,74855.22,1337.86,94708.59,7634.97,1489606.3200000015,209259.53000000003,412689.51,24339.18,364564.93999999994,43510.47,511430.04000000004,7246.46,3916565.010000001,356885.08
a) cari kreditlər,15473.289999999999,51.73,37730.74,43.29,15145.3,92.05,30070.760000000002,110.06,100159.13,847.17,109642.29,757.5,113097.27,27739.14,90352.17,843.01,92280.63,763.13,87769.69,126.98,81786.13,3247,89169.43999999999,3247.01,106033.54999999999,25688.54,74855.22,1337.86,94708.59,7634.97,1489606.3200000015,209259.53000000003,412689.51,24339.18,364564.93999999994,43510.47,455247.46,7161.2,3860382.430000001,356799.82
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56182.58000000001,85.26,56182.58000000001,85.26
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə olunmayan əsas vəsaitlər daxil olmaqla),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81184.66000000002,0,81184.66000000002,0
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74554.12999999999,8461.1,74554.12999999999,8461.1
14. Qeyri-maddi aktivlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25959.908,0,25959.908,0
15. Digər aktivlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338007.2800000001,35417.84,338007.2800000001,35417.84
16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477629.23800000007,3877.0299999999997,477629.23800000007,3877.0299999999997
17. Cəmi aktivlər,935496.5800000001,250893.43999999997,810710.5900000001,154520.79,35113.24,92.05,53815.83,110.06,443001.95,2547.17,250621.90000000002,17757.5,164978.47,28589.14,189700.99,4668.01,340231.5,196402.53,158030.99,5056.98,137430.68,14892,155017.24,7837.01,137040.15,27388.54,90256.32,7457.86,103472.36,11034.970000000001,1885895.9500000016,335214.23000000004,724097.3400000001,173615.92,497606.24,82355.47,1346921.65,102510.28000000003,8459439.970000003,1422943.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CƏDVƏL A 13 - ÖDƏNİŞ MÜDDƏTLƏRİNİN BÖLGÜSÜ  (davamı),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
