Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",3916565.009999999,3684939.97,175442.46,17807.97,10668.37,3783.9500000000003,4429.21,3062.8499999999995,3014.64,2170.2,2035.66,1370.92,1883.05,1588.8700000000001,4366.89
  -Biznes,1229188.5800000003,1190326.37,27606.549999999974,2549.4400000000023,2451.1900000000014,178.61000000000013,1300.7599999999998,157.77999999999975,149.82000000000016,25.210000000000036,3.3199999999999363,0,395.23,27.690000000000055,4016.61
  -İstehlak,2148372.049999999,1989688.21,116170.21,13416.32,8075.29,3574.26,3056.07,2905.0699999999997,2824.2999999999997,2144.99,2032.3400000000001,1370.92,1487.82,1561.18,65.07
  -Daşınmaz əmlak,539004.3799999999,504925.39,31665.7,1842.21,141.89,31.08,72.38,0,40.52,0,0,0,0,0,285.21
  -Digər kreditlər,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",3916565.459999999,2931086.79,42784.289999999106,0,686492.3799999999,256202,0,0,,,,,,,
  -Biznes,1229189.03,817141.03,8358,                        -  ,147488,256202,                        -  ,                                    -  ,,,,,,,
  -İstehlak,2148371.76,2113945.76,34426,                        -  ,                        -  ,                        -  ,                        -  ,                                    -  ,,,,,,,
  -Daşınmaz əmlak,539004.669999999,                        -  ,0.28999999910593033,                        -  ,539004.3799999999,                        -  ,                        -  ,                                    -  ,,,,,,,
  -Digər kreditlər,0,                        -  ,                        -  ,                        -  ,                        -  ,                        -  ,                        -  ,                                    -  ,,,,,,,
