1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az olmamalıdır),"855,575"
a) Adi səhmlər (tam ödənilmiş paylar),"205,850"
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,"60,000"
c) Səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800
"d)Bölüşdürülməmiş xalis mənfəət (zərər), cəmi","588,925"
d1) əvvəlki illərin mənfəəti (zərəri),"568,855"
d2) (çıx) cari ilin zərəri,-
d3) kapital ehtiyatları (fondları),"20,070"
e) Digər,-
2. I dərəcəli kapitaldan  tutulmalar,"29,160"
a) Qeyri-maddi aktivlər,"29,160"
b) Təxirə salınmış vergi aktivləri,-
3. Tutulmalardan  sonra I dərəcəli kapitalı (I—2),"826,415"
4. II dərəcəli  kapital (I dərəcəli  kapitalın  məbləğindən çox olmamalıdır),"150,674"
a) Cari ilin mənfəəti,"71,393"
b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox olmamaqla),"43,580"
c)  Kapitalın digər komponentləri,"35,700"
c1) kumulyativ müddətsiz imtiyazlı səhmlər,-
c2) subordinasiya borc öhdəlikləri,"35,700"
d) Digər vəsaitlər,-
5. Məcmu kapital (3+4),"977,089"
6. Məcmu kapitaldan tutulmalar :,"95,184"
a)Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə idarələrinin kapitalına və,
,"83,720"
"bütün qeyri-bank müəssisələrinə kapital investisiyaları, o cümlədən qarşılıqlı investisiyalar (xalis)",
b)Bütün digər investisiyalar (xalis),"11,464"
7. Tutulmalardan  sonra məcmu kapital (5-6),"881,905"
8. Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər*,"6,467,079"
8.1. 0%-lik risk qrupuna daxil olan aktivlər,-
8.2. 20%-lik risk qrupuna daxil olan aktivlər,"564,301"
8.3. 35%-lik risk qrupuna daxil olan aktivlər,"126,198"
8.4. 50%-lik risk qrupuna daxil olan aktivlər,"624,262"
8.5.  75%-lik risk qrupuna daxil olan aktivlər,
8.6.  100%-lik risk qrupuna daxil olan aktivlər,"2,049,312"
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,"3,103,006"
