,6,,-,,-,-,-
bazar qiymətləri arasındakı fərq,,,,,,,
7. Dividendlər,7,X,,X,,-,-
a) ödənilmiş adi səhmlər üzrə elan olunmuş,,,,,,,
,7a,X,,X,,-,-
dividendlər,,,,,,,
b) ödənilmiş müddətsiz imtiyazlı səhmlər,,,,,,,
,7b,X,,X,,-,-
üzrə elan olunmuş dividendlər,,,,,,,
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,,"346,717",,-,"313,602","660,319"
a) Əvvəlki illərin xalis mənfəəti (zərəri),8a,,"326,647",,-,"242,209","568,855"
b) Cari ilin xalis mənfəət (zərəri),8b,X,,X,,"71,393","71,393"
c) Kapital ehtiyatları,8c,,"20,070",,-,-,"20,070"
9. Ümumi ehtiyatlar,9,,"55,721",,-,"(3,055)","52,666"
a) kreditlərdən və banklararası  tələblər üzrə,,,,,,,
mümkün zərərlərin ödənilməsi üçün adi,9a,,"26,985",,-,(909),"26,076"
ehtiyatlar,,,,,,,
b) digər aktivlərdən olan mümkün zərərlərin,,,,,,,
,9b,,"19,651",,-,"(2,147)","17,504"
ödənilməsi üçün adi ehtiyatlar,,,,,,,
c) əsas vəsaitlərin yenidən,,,,,,,
,9c,,"2,065",,-,-,"2,065"
qiymətləndirilməsi,,,,,,,
d) qiymətli kağızların yenidən,,,,,,,
,9d,,"7,020",,-,-,"7,020"
qiymətləndirilməsi,,,,,,,
e) digər ümumi ehtiyatlar,9e,,-,,-,-,-
