,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,O cumlədən
C. Balansdankənar öhdəliklər,,,,
,,"ani
1-7
8-14
15-30
31-60 
61-90 
91-120 
121-150 
151-180 
181-210","211-240 
241-270 
271-300 
301-330 
331-365 (366) 
1-2 il
2-3 il
3-5 il
5 ildən artıq
Cəmi
sabit faizlə","dəyişkən faizlə
faizsiz"
1. Aktivlərin əldə edilməsi üzrə öhdəliklər daxil,,,,
,C1,"-             1,146,873 
             409,598 
               81,920 
                      -   
                      -   
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -             1,638,390 
1,638,390.16","-   
                        -"
"olmaqla, kredit alətləri, cəmi",,,,
"2. Qarantiyalar və bu qəbildən olan öhdəliklər,",,,,
,C2,"-                  11,154 
                4,040 
               19,617 
             126,951 
               93,630 
             111,442 
               92,518 
                            58,141 
               96,420","34,203 
               93,122 
             196,004 
               69,395 
               10,553 
             132,980 
               50,575 
               15,022 
                      -             1,215,765 
1,215,764.89","-   
                        -"
cəmi,,,,
"3. Akkreditivlər, cəmi",C3,"-                       271 
                   558 
                   333 
                   558 
                1,864 
                   359 
                2,887 
                              4,129 
                      -","-                    2,513 
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -                  13,471 
13,471.07",-
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər,",,,,
,C4,"-                       736 
                      -   
                      -   
                      -                    6,800 
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -                    7,536 
7,536.00","-   
                        -"
cəmi,,,,
5. Qiymətli kağızlar alınması/satılması üzrə,,,,
,C5,"-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -","-   
                        -"
"təəhhüdlər, cəmi",,,,
6. Digər maliyyə alətlərinin və ya əmtəələrin,,,,
,C6,"-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -","-   
                        -"
"alınması/satılması üzrə təəhhüdlər, cəmi",,,,
7. Digər balansdankənar öhdəliklər,C7,"-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -","-   
                        -"
8. Cəmi balansdankənar öhdəliklər,C8,"-             1,159,033 
             414,195 
             101,869 
             127,509 
             102,294 
             111,801 
               95,405 
                            62,270 
               96,420","34,203 
               95,635 
             196,004 
               69,395 
               10,553 
             132,980 
               50,575 
               15,022 
                      -             2,875,162 
          2,875,162","-   
                        -"
9. Hər dövr üçün maliyyə aktivlərinin,,,,
,C9,"(4,039,626)
           (756,844)
           (433,964)
             (72,070)
             (30,945)
           (209,532)
             (52,914)
             (75,343)
                           (36,998)
             (42,792)","6,268 
             (82,464)
           (107,176)
           (101,008)
             (99,926)
          1,703,498 
             565,430 
             391,919 
             599,327 
        (2,875,162)
               93,736","-              (1,468,198)"
(passivlərinin) xalis məbləği.,,,,
"9.1.(Çıx) Bloklaşdırılmış hesablar,cəmi",C9_1,"-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                                   -   
                      -","-   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -   
                      -             1,348,441 
          1,348,441 
          1,348,441","-   
                        -"
10. Kumulyativ məcmu,C10,"(4,039,626)
           (756,844)
           (433,964)
             (72,070)
             (30,945)
           (209,532)
             (52,914)
             (75,343)
                           (36,998)
             (42,792)","6,268 
             (82,464)
           (107,176)
           (101,008)
             (99,926)
          1,703,498 
             565,430 
             391,919 
           (749,114)
        (4,223,603)
           (322,173)","-              (1,468,198)"
11. Hesabat dövrünün son ayına likvid aktivlərin,,,,
,C11,"X
X
X
X
X
X
X
X
X
          3,435,654","X
X
X
X
X
X
X
X
X
X
X","X
X"
orta gündəlik qalığları (cədvəl M5),,,,
12. Hesabat dövrünün son ayına öhdəliklərin,,"X
X
X
X
X
X
X
X
X","X
X
X
X
X
X
X
X
X
X
X","X
X"
,C12,"5,928,074",,
orta gündəlik qalığı (cədvəl M6),,,,
13.   Ani likvidlik əmsalı,C13,"X
X
X
X
X
X
X
X
X
                     58","X
X
X
X
X
X
X
X
X
X
X","X
X"
,,"0-3 ay
3-6 ay
6-9 ay
9-12 ay
1-2 il","2-3 il
3-5 il
5 ildən artıq
Cəmi",
Faiz dərəcəsinə həssas cəmi aktivlər,C1,"975,219 
                                         554,705 
                                         407,521 
                                         457,477 
                                                   2,036,452","700,421 
                                         634,676 
                                         161,694 
                                      5,928,165",
Faiz dərəcəsinə həssas cəmi öhdəliklər,C1,"2,478,149 
                                         630,942 
                                         572,805 
                                         859,734 
                                                      315,101","168,767 
                                           59,242 
                                         386,464 
                                      5,471,204",
Qəp,C1,"(1,502,929)
                                         (76,237)
                                       (165,284)
                                       (402,258)
                                                   1,721,350","531,654 
                                         575,433 
                                       (224,770)",
Kumulyativ qəp,C1,"673,318 
                                    (1,579,166)
                                    (1,744,450)
                                    (2,146,707)
                                                     (425,357)","106,297 
                                         681,731 
                                         456,960",
