C. Balansdankənar öhdəliklər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),O cumlədən,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz,
"1. Aktivlərin əldə edilməsi üzrə öhdəliklər daxilolmaqla, kredit alətləri, cəmi",C1,-,"1,146,873","409,598","81,920",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,638,390","1,638,390.16",-,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər,cəmi",C2,-,"11,154","4,040","19,617","126,951","93,630","111,442","92,518","58,141","96,420","34,203","93,122","196,004","69,395","10,553","132,980","50,575","15,022",-,"1,215,765","1,215,764.89",-,-
"3. Akkreditivlər, cəmi",C3,-,271,558,333,558,"1,864",359,"2,887","4,129",-,-,"2,513",-,-,-,-,-,-,-,"13,471","13,471.07",-,-
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər,cəmi",C4,-,736,-,-,-,"6,800",-,-,-,-,-,-,-,-,-,-,-,-,-,"7,536","7,536.00",-,-
"5. Qiymətli kağızlar alınması/satılması üzrətəəhhüdlər, cəmi",C5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"6. Digər maliyyə alətlərinin və ya əmtəələrinalınması/satılması üzrə təəhhüdlər, cəmi",C6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7. Digər balansdankənar öhdəliklər,C7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8. Cəmi balansdankənar öhdəliklər,C8,-,"1,159,033","414,195","101,869","127,509","102,294","111,801","95,405","62,270","96,420","34,203","95,635","196,004","69,395","10,553","132,980","50,575","15,022",-,"2,875,162","2,875,162",-,-
"9. Hər dövr üçün maliyyə aktivlərinin(passivlərinin) xalis məbləği.",C9,"(4,039,626)","(756,844)","(433,964)","(72,070)","(30,945)","(209,532)","(52,914)","(75,343)","(36,998)","(42,792)","6,268","(82,464)","(107,176)","(101,008)","(99,926)","1,703,498","565,430","391,919","599,327","(2,875,162)","93,736",-,"(1,468,198)"
"9.1.(Çıx) Bloklaşdırılmış hesablar,cəmi",C9_1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,348,441","1,348,441","1,348,441",-,-
10. Kumulyativ məcmu,C10,"(4,039,626)","(756,844)","(433,964)","(72,070)","(30,945)","(209,532)","(52,914)","(75,343)","(36,998)","(42,792)","6,268","(82,464)","(107,176)","(101,008)","(99,926)","1,703,498","565,430","391,919","(749,114)","(4,223,603)","(322,173)",-,"(1,468,198)"
"11. Hesabat dövrünün son ayına likvid aktivlərinorta gündəlik qalığları (cədvəl M5)",C11,"3,435,654",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"12. Hesabat dövrünün son ayına öhdəliklərinorta gündəlik qalığı (cədvəl M6)",C12,"5,928,074",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
13.   Ani likvidlik əmsalı,C13,58,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
