Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,O cumlədən,Unnamed: 23,Unnamed: 24
B. Öhdəliklər və kapital,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ani,1-7,,8-14,15-30,31-60,61-90,91-120,121-150,151-180 181-210 211-240 241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,,5 ildən artıq,,,Cəmi,sabit faizlə,dəyişkən faizlə,,faizsiz
1. Depozitlər (banklar və digər maliyyə,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1,"4,983,040","6,617",,"22,405","34,935","105,393","271,562","117,620","100,057","87,794 54,386 79,313 138,853","65,095","124,915","239,857","155,481","84,350","1,888",,,-,,"6,673,562","3,399,119",,-,"2,922,500"
"müəssisələri istisna olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,B1a,"1,251,381",-,,-,-,-,-,-,-,----,-,-,-,-,-,-,,,-,,"1,251,381","844,880",,-,"4 13,259"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari,,,,,,,,,,,,,,,,,,,,,,,,,,
(qeyri-bank maliyyə institutlarının cari hesabları,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1b,"3,723,659",-,,-,-,-,-,-,-,----,-,-,-,-,-,-,,,-,,"3,723,659","1,094,463",,-,"2,509,241"
da daxil olmaqla) və çek hesabları  daxil,,,,,,,,,,,,,,,,,,,,,,,,,,
olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1c,1,"5,117",,"8,404.68","17,435.26","36,192.94","22,800.75","63,619.66","70,057.20","61,792.03 42,386.13 27,313.41 90,189.75","49,595.31","91,515.04","70,456.69","152,381.08","84,350.44",387.89,,,-,,"893,995","648,065",,-,
müddətli depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1d,"8,000","1,500",,"14,000.00","17,500.00","69,200.00","248,761.60","54,000.00","30,000.00","26,001.93 12,000.00 52,000.00 48,663.00","15,500.00","33,400.00","169,400.00","3,100.00",-,"1,500.00",,,-,,"804,527","811,711",,-,
müddətli depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-nın kreditləri,B2,,-,,-,-,-,-,-,-,----,-,-,-,540,-,-,,,-,,540,540,,-,
"3. “Loro"" hesabları (bankların müxbir hesabları)",B3,"6,059",-,,-,-,-,-,-,-,----,-,-,-,-,-,-,,,-,,"6,059",-,,-,"6,059"
4. REPO əməliyyatları üzrə,B4,-,"18,990",,"29,904",,"1,000",-,-,-,----,-,-,-,-,-,-,,-,,,"49,894","49,894",,-,-
5. Banklararası bazarın qazanılmış qısamüddətli,,,,,,,,,,,,,,,,,,,,,,,,,,
maliyyə alətləri (7-ci gün də daxil olmaqla 7,B5,-,-,,-,-,-,-,-,-,----,-,-,-,-,-,-,,,-,,-,-,-,,-
günədək  olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların,,,,,,,,,,,,,,,,,,,,,,,,,,
,B6,25,"27,200",,"3,000","17,000",300,500,"20,001",-,"-17,000 10,700 -","3,640","19,452","36,675","3,599",66,"55,467",,"1,210",,,"215,834","215,834",,-,-
depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Banklardan alınmış kreditlər (7 gündən artıq,,,,,,,,,,,,,,,,,,,,,,,,,,
,B7,-,-,,-,-,-,-,-,-,----,-,-,-,"40,354",-,-,,,-,,"40,354","40,354",,-,-
müddətli olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər",,,,,,,,,,,,,,,,,,,,,,,,,,
