"","","","","Kredit riski","","","","","","","","","","","",""
"Kredit portfelinin keyfiyyəti","","","","","","","","","","","","","","","","min manatla"
"","","","","","","","Əsas məbləğ üzrə borc","","","","","","","","",""
"","Kredit portfelinin sektorlar üzrə bölgüsü","Cəmi","","","","","","Vaxtı keçmiş günlər","","","","","","","",""
"","","","Cari","","","","","","","","","","","","",""
"","","","","1-30 gün","31-60 gün","61-90 gün","91-120 gün","121-150 gün
151-180 gün","","181-210 gün","211-240 gün","241-270 gün","271-300 gün","301-330 gün","331-365 (366) gün","1 il və  artıq"
"Kredit portfeli, o cümlədən","","4,397,093","4,096,118","232,000","18,174","11,768","5,699","4,799","3,617","2,935","3,176","2,704","3,746","2,393","1,902","8,063"
"-Biznes","","1,391,636","1,334,162","41,774","2,626","3,092","648","1,076","150","578","85","273","1,781","948","165","4,278"
"-İstehlak","","2,421,551","2,217,164","153,741","13,763","8,108","5,051","3,723","3,467","2,357","3,091","2,431","1,965","1,445","1,737","3,507"
"-Daşınmaz əmlak","","583,907","544,791","36,485","1,785","568","-","","-","-","-","-","-","-","","278"
"-Digər kreditlər","","-","","-","","","-","","-","-","-","-","-","-","","-"
"Kreditlərin təminat üzrə bölgüsü","","","","","","","","","","","","","","","",""
"","","","","","","","","min manatla","","","","","","","",""
"","","","","Nağd vəsaitlə təmin","","Daşınmaz əmlakla təmin","Daşınar əmlakla təmin","Qarantiyalar ilə təmin","Kredit törəmə alətləri ilə","","","","","","",""
"","Kredit portfelinin sektorlar üzrə bölgüsü","Cəmi","Təminatsız","","Qızıl təminatlı","","","","","","","","","","",""
"","","","","olunan","","olunan","olunan","olunan","təmin olunan","","","","","","",""
"Kredit portfeli, o cümlədən","","4,397,093","3,220,155","78,989","","1,049,014","48,935","","-","","","","","","",""
"-Biznes","","1,391,636","849,830","27,763","","465,107","48,935","","-","","","","","","",""
"-İstehlak","","2,421,551","2,370,325","51,226","","","-","","-","","","","","","",""
"-Daşınmaz əmlak","","583,907","","-","","583,907","-","","-","","","","","","",""
"-Digər kreditlər","","-","","-","","","-","","-","","","","","","",""
"","","","Likvidlik riski","","","","","","","","","min manatla","","","",""
"","","Ödəniş müddətinin bitməsinə qalan günlər","Ani","1 - 7 gün","8-30 gün","3-6 ay","6 ay- 9 ay","9 ay-1 il
1-2 il","","2-5 il","5 ildən çox","Ümumi","","","",""
"","1","Aktivlər","1,304,470","454,996","485,354","429,692","407,520","457,477","2,036,452","1,224,216","1,966,638","8,766,814","","","",""
"","1.1","Nağd pul və ekvivalentləri","1,201,590","-","","","-","","-","-","1,348,441","2,550,031","","","",""
"","1.2","Qiymətli kağızlar","","8,460","177,660","45,048","38,288","41,709","526,713","189,532","161,694","1,189,104","","","",""
"","1.3","Müştərilərə verilmiş kreditlər (xalis)","21,161","30,498","277,448","360,914","338,130","355,275","1,508,551","1,034,684","470,432","4,397,093","","","",""
"","1.4","Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis)","","-","2,086","730","3,902","15,218","1,187","-","2,550","25,673","","","",""
"","1.5","Əks REPO əməliyyatları üzrə","","44,481","","","-","","","","-","44,481","","","",""
"","1.6","Qısamüddətli maliyyə alətləri","","165,000","","","-","","","","-","165,000","","","",""
"","1.7","Törəmə maliyyə alətləri","","","","","","","","","","-","","","",""
"","1.8","Bankın depozitləri","22,041","1,717","28,160","23,000","27,200","45,275","-","-","-","147,393","","","",""
"","1.9","“Nostro"" hesabları","59,678","-","","","-","","-","-","-","59,678","","","",""
"","1.9.1","16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar","","-","","","-","","-","-","(528,311)","(528,311)","","","",""
"","1.9.2","Digər maliyyə aktivlər","","204,840","","","-","","-","-","511,832","716,672","","","",""
"","2","Öhdəliklər","5,344,098","52,807","485,999","325,471","300,252","489,635","199,977","201,269","1,367,307","8,766,814","","","",""
"","2.1","ARMB və dövlət təşkilatlarının banka qarşı tələbləri","","-","","","-","","540","-","-","540","","","",""
"","2.2","Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər","25","46,190","51,704","20,001","27,700","59,768","43,953","55,533","387,673","692,546","","","",""
"","2.3","Müştərilərin depozitləri:","4,983,041","6,617","434,295","305,470","272,552","429,867","155,484","86,236","-","6,673,562","","","",""
"","2.3.1","tələbli depozitlər","4,975,040","-","","","-","","-","-","-","4,975,040","","","",""
"","2.3.2","müddətli depozitlər","8,001","6,617","434,295","305,470","272,552","429,867","155,484","86,236","-","1,698,522","","","",""
"","2.4","Subordinasiya öhdəlikləri","","-","","","-","","-","59,500","-","59,500","","","",""
"","2.5","Borc qiymətli kağızları","","-","","","-","","-","-","-","-","","","",""
"","2.6","“Loro"" hesabları","6,059","-","","","-","","-","-","-","6,059","","","",""
"","2.7","Digər maliyyə öhdəliklər","354,973","-","","","-","","-","-","-","354,973","","","",""
"","3","Kapital","","","","","","","","","979,635","979,635","","","",""
"","","Likvidlik ""qəpi""","(4,039,627)","402,189","(645)","104,222","107,268","(32,158)","1,836,475","1,022,947","599,331","(0)","","","",""
"","","Valyuta riski","","","","min manatla","","","","","","","","","",""
"","","Maliyyə aktivləri və öhdəlikləri","Cəmi","AZN","ABŞ Dolları","Avro","Digər","","","","","","","","",""
"","1","Aktivlər","8,766,814","7,256,341","1,421,147","81,147","8,179","","","","","","","","",""
"","1.1","Nağd və nağd pul ekvivalentləri","2,609,708","1,856,789","677,629","69,132","6,158","","","","","","","","",""
"","1.2","Qiymətli kağızlar","1,230,824","889,505","341,318","-","-","","","","","","","","",""
"","1.3","Müştərilərə verilmiş kreditlər","3,918,680","3,574,348","342,757","1,575","-","","","","","","","","",""
"","1.4","Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər","338,066","287,298","39,891","9,160","1,717","","","","","","","","",""
"","1.5","Törəmə maliyyə alətləri","","-","-","-","-","","","","","","","","",""
"","1.6","Qısa müddətli maliyyə alətləri","","-","-","-","-","","","","","","","","",""
"","1.7","Əsas vəsaitlər","117,267","117,267","-","-","-","","","","","","","","",""
"","1.8","Digər aktivlər","552,269","531,134","19,551","1,280","304","","","","","","","","",""
"","2","Öhdəliklər","7,787,179","6,386,086","1,309,344","82,879","8,870","","","","","","","","",""
"","2.1","Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri","","-","-","-","-","","","","","","","","",""
"","2.2","Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər","639,105","489,802","147,483","1,719","101","","","","","","","","",""
"","2.3","Müştərilərin depozitləri","6,673,562","5,494,539","1,090,605","79,685","8,732","","","","","","","","",""
"","2.3.1","a) tələbli depozitlər","4,975,040","4,237,506","649,117","79,685","8,732","","","","","","","","",""
"","2.3.2","b) müddətli depozitlər","1,698,522","1,257,034","441,488","-","-","","","","","","","","",""
"","2.4","Subordinasiya öhdəlikləri","59,500","59,500","-","-","-","","","","","","","","",""
"","2.5","Borc qiymətli kağızları","","-","-","-","-","","","","","","","","",""
"","2.6","Digər öhdəliklər","415,013","342,244","71,256","1,475","37","","","","","","","","",""
"","3","Balans kapital","979,635","979,635","-","-","-","","","","","","","","",""
"","","Öhdəliklərin və kapitalın cəmisi","8,766,814","7,365,720","1,309,344","82,879","8,870","","","","","","","","",""
"","","","","","","","faizlə","","","","","","","","",""
"","3","Açıq valyuta mövqeyi əmsalı","","","0.13%","-1.17%","-0.18%","","","","","","","","",""
"","3.1","Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM)","-1.21%","","","","","","","","","","","","",""
"","3.2","Qapalı valyuta üzrə məcmu AVM","-0.20%","","","","","","","","","","","","",""
"","3.3","Qiymətli metallar üzrə AVM","0.00%","","","","","","","","","","","","",""
"","3.4","Məcmu AVM","-1.41%","","0.13%","-1.17%","-0.18%","","","","","","","","",""
"","","Faiz riski","","","","","","","","","","","","","",""
"","1","Faiz dərəcəsinə görə cəmi aktivlər","5,928,165","","","","","","","","","","","","",""
"","1.1","0-3 ay","975,219","","","","","","","","","","","","",""
"","1.2","3-6 ay","554,705","","","","","","","","","","","","",""
"","1.3","6-12 ay","864,998","","","","","","","","","","","","",""
"","1.4","12-24 ay","2,036,452","","","","","","","","","","","","",""
"","1.5","24-36 ay","700,421","","","","","","","","","","","","",""
"","1.6","36 aydan yuxarı","796,370","","","","","","","","","","","","",""
"","2","Faiz dərəcəsinə həssas cəmi öhdəliklər","5,471,205","","","","","","","","","","","","",""
"","2.1","0-3 ay","2,478,149","","","","","","","","","","","","",""
"","2.2","3-6 ay","630,942","","","","","","","","","","","","",""
"","2.3","6-12 ay","1,432,539","","","","","","","","","","","","",""
"","2.4","12-24 ay","315,101","","","","","","","","","","","","",""
"","2.5","24-36 ay","168,767","","","","","","","","","","","","",""
"","2.6","36 aydan yuxarı","445,707","","","","","","","","","","","","",""
"","3","“Qəp”","456,960","","","","","","","","","","","","",""
"","3.1","0-3 ay","(1,502,930)","","","","","","","","","","","","",""
"","3.2","3-6 ay","(76,237)","","","","","","","","","","","","",""
"","3.3","6-12 ay","(567,541)","","","","","","","","","","","","",""
"","3.4","12-24 ay","1,721,350","","","","","","","","","","","","",""
"","3.5","24-36 ay","531,654","","","","","","","","","","","","",""
"","3.6","36 aydan yuxarı","350,663","","","","","","","","","","","","",""
