Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,,
(min manatla),,
,sumLiabManat,sumLiabForeignCur
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
"1. Kredit alətləri, cəmi","1,638,390","180,017"
a) Kredit öhdəlikləri,-,-
b) İstifadə olunmamış kredit xətləri,"1,637,527","180,017"
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin 
alınması üzrə öhdəliklər",-,-
d) Digər öhdəliklər,863,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi","1,215,765","261,976"
a) Qarantiyalar,"1,215,765","261,976"
b) Bu qəbildən olan digər öhdəliklər,-,-
"3. Akkreditivlər, cəmi","13,471","8,766"
"a) ""Standby"" akkreditivlər",-,-
b) Sənədli akkreditivlər,"13,471","8,766"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",736,736
a) Spot müqavilələri əsasında,736,736
a1) alqı,,
a2) satqı,736,736
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,"6,800","6,800"
a) Forvard və fyuçers müqavilələri əsasında,-,-
a1) alqı,,
a2) satqı,,
b) Svop müqavilələri əsasında,"6,800","6,800"
b1) alqı,-,-
b2) satqı,"6,800","6,800"
c) Opsion müqavilələri əsasında,-,-
c1) alqı,,
c2) satqı,,
d) Digər törəmə maliyyə alətləri əsasında,-,-
d1) alqı,,
d2) satqı,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
"7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə 
təəhhüdlər",-,-
a) alqı,,
b) satqı,,
8. Digər balansdankənar öhdəliklər,,
