Likvidlik riski,,,,,,,,,,min manatla,
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-30 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,"1,304,470","454,996","485,354","429,692","407,520","457,477","2,036,452","1,224,216","1,966,638","8,766,814"
1.1,Nağd pul və ekvivalentləri,"1,201,590",-,,,-,,-,-,"1,348,441","2,550,031"
1.2,Qiymətli kağızlar,,"8,460","177,660","45,048","38,288","41,709","526,713","189,532","161,694","1,189,104"
1.3,Müştərilərə verilmiş kreditlər (xalis),"21,161","30,498","277,448","360,914","338,130","355,275","1,508,551","1,034,684","470,432","4,397,093"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),,-,"2,086",730,"3,902","15,218","1,187",-,"2,550","25,673"
1.5,Əks REPO əməliyyatları üzrə,,"44,481",,,-,,,,-,"44,481"
1.6,Qısamüddətli maliyyə alətləri,,"165,000",,,-,,,,-,"165,000"
1.7,Törəmə maliyyə alətləri,,,,,,,,,,-
1.8,Bankın depozitləri,"22,041","1,717","28,160","23,000","27,200","45,275",-,-,-,"147,393"
1.9,"“Nostro"" hesabları","59,678",-,,,-,,-,-,-,"59,678"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,-,,,-,,-,-,"(528,311)","(528,311)"
1.9.2,Digər maliyyə aktivlər,,"204,840",,,-,,-,-,"511,832","716,672"
2,Öhdəliklər,"5,344,098","52,807","485,999","325,471","300,252","489,635","199,977","201,269","1,367,307","8,766,814"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,,-,,,-,,540,-,-,540
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,25,"46,190","51,704","20,001","27,700","59,768","43,953","55,533","387,673","692,546"
2.3,Müştərilərin depozitləri:,"4,983,041","6,617","434,295","305,470","272,552","429,867","155,484","86,236",-,"6,673,562"
2.3.1,tələbli depozitlər,"4,975,040",-,,,-,,-,-,-,"4,975,040"
2.3.2,müddətli depozitlər,"8,001","6,617","434,295","305,470","272,552","429,867","155,484","86,236",-,"1,698,522"
2.4,Subordinasiya öhdəlikləri,,-,,,-,,-,"59,500",-,"59,500"
2.5,Borc qiymətli kağızları,,-,,,-,,-,-,-,-
2.6,"“Loro"" hesabları","6,059",-,,,-,,-,-,-,"6,059"
2.7,Digər maliyyə öhdəliklər,"354,973",-,,,-,,-,-,-,"354,973"
3,Kapital,,,,,,,,,"979,635","979,635"
,"Likvidlik ""qəpi""","(4,039,627)","402,189",(645),"104,222","107,268","(32,158)","1,836,475","1,022,947","599,331",(0)
