Valyuta riski,,,,,min manatla,
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,"8,766,814","7,256,341","1,421,147","81,147","8,179"
1.1,Nağd və nağd pul ekvivalentləri,"2,609,708","1,856,789","677,629","69,132","6,158"
1.2,Qiymətli kağızlar,"1,230,824","889,505","341,318",-,-
1.3,Müştərilərə verilmiş kreditlər,"3,918,680","3,574,348","342,757","1,575",-
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,"338,066","287,298","39,891","9,160","1,717"
1.5,Törəmə maliyyə alətləri,,-,-,-,-
1.6,Qısa müddətli maliyyə alətləri,,-,-,-,-
1.7,Əsas vəsaitlər,"117,267","117,267",-,-,-
1.8,Digər aktivlər,"552,269","531,134","19,551","1,280",304
2,Öhdəliklər,"7,787,179","6,386,086","1,309,344","82,879","8,870"
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,,-,-,-,-
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,"639,105","489,802","147,483","1,719",101
2.3,Müştərilərin depozitləri,"6,673,562","5,494,539","1,090,605","79,685","8,732"
2.3.1,a) tələbli depozitlər,"4,975,040","4,237,506","649,117","79,685","8,732"
2.3.2,b) müddətli depozitlər,"1,698,522","1,257,034","441,488",-,-
2.4,Subordinasiya öhdəlikləri,"59,500","59,500",-,-,-
2.5,Borc qiymətli kağızları,,-,-,-,-
2.6,Digər öhdəliklər,"415,013","342,244","71,256","1,475",37
"3
Balans kapital",,"979,635","979,635",-,-,-
Öhdəliklərin və kapitalın cəmisi,,"8,766,814","7,365,720","1,309,344","82,879","8,870"
faizlə,,,,,,
"3
Açıq valyuta mövqeyi əmsalı
0.13%
-1.17%
-0.18%",,,,,,
"3.1
-1.21%
Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM)",,,,,,
"3.2
Qapalı valyuta üzrə məcmu AVM
-0.20%",,,,,,
"3.3
Qiymətli metallar üzrə AVM
0.00%",,,,,,
"3.4
Məcmu AVM
-1.41%
0.13%
-1.17%
-0.18%",,,,,,
