Faiz riski,,
1,Faiz dərəcəsinə görə cəmi aktivlər,"5,928,165"
1.1,0-3 ay,"975,219"
1.2,3-6 ay,"554,705"
1.3,6-12 ay,"864,998"
1.4,12-24 ay,"2,036,452"
1.5,24-36 ay,"700,421"
1.6,36 aydan yuxarı,"796,370"
2,Faiz dərəcəsinə həssas cəmi öhdəliklər,"5,471,205"
2.1,0-3 ay,"2,478,149"
2.2,3-6 ay,"630,942"
2.3,6-12 ay,"1,432,539"
2.4,12-24 ay,"315,101"
2.5,24-36 ay,"168,767"
2.6,36 aydan yuxarı,"445,707"
3,“Qəp”,"456,960"
3.1,0-3 ay,"(1,502,930)"
3.2,3-6 ay,"(76,237)"
3.3,6-12 ay,"(567,541)"
3.4,12-24 ay,"1,721,350"
3.5,24-36 ay,"531,654"
3.6,36 aydan yuxarı,"350,663"
