"Kreditlərin təsnifləşdirilməsi haqqında məlumatlar
(min manatla)",,,,,,
,Məbləğ,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,"Yaradılmış adi ehtiyatın 
kredit portfelində  payı 
(faizlə)","Yaradılmış məqsədli 
ehtiyat","Yaradılmış məqsədli 
ehtiyatın kredit 
portfelində payı (faizlə)"
"1. Cəmi kredit portfeli, o cümlədən","4,397,093",X,"25,188",0.57%,"478,413",10.88%
1.1.Standart kreditlər,"2,382,074",54.17%,"25,188",0.57%,X,X
1.1.1. Qənaətbəxş kreditlər,"2,308,264",52.50%,"23,083",0.52%,X,X
1.1.2. Nəzarət altında olan kreditlər,"73,810",1.68%,"2,106",0.05%,X,X
1.2. Qeyri-standart kreditlər,"1,650,063",37.53%,X,X,"478,413",10.88%
Qeyri-qənaətbəxş,"1,553,704",35.33%,X,X,"388,426",8.83%
Təhlükəli,"9,838",0.22%,X,X,"4,919",0.11%
Ümidsiz,"86,521",1.97%,X,X,"85,068",1.93%
1.3. Ehtiyat yaradılmayan kreditlər,"364,956",8.30%,X,X,X,X
