"Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı
(min manatla)",,,
Aktivlərin maddələri,(Hesabat ili qeyd edilsin),,
,,,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və
mübadilə şöbələrində olan nağd vəsaitlər daxil olmaqla), cəmi",-,-,"934,902"
"2. Mərkəzi Bankda müxbir hesab, cəmi",-,-,"1,615,129"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi",-,-,"59,678"
a) Rezident banklar,-,-,"11,009"
b) Qeyri-rezident banklar,-,-,"48,668"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil
olmaqla, 7 günədək olan vəsaitlər), cəmi","165,000",-,-
a) Rezident banklar,"165,000",-,-
b) Qeyri-rezident banklar,-,-,-
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi","147,393",-,-
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi","123,635",-,-
a) Rezident banklar,"123,635",-,-
b) Qeyri-rezident banklar,-,-,-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi","23,758",-,-
a) Rezident maliyyə institutlarında,-,-,-
b) Qeyri-rezident maliyyə institutlarında,"23,758",-,-
6. Əks REPO əməliyyatları üzrə,"44,481",-,-
"7. Qiymətli kağızlar, cəmi","1,189,105",-,-
a) ödəniş müddətinədək saxlanılan,"993,316",-,-
b) ticarət üçün alınmış qiymətli kağızlar,"195,790",-,-
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə
alətləri istisna olmaqla), cəmi","17,850",-,-
a) Rezident banklara,-,-,-
b) Qeyri-rezident banklara,"17,850",-,-
"9. Digər maliyyə institutlarına kreditlər, cəmi","7,823",-,-
a) Rezident maliyyə institutlarına,"7,823",-,-
b) Qeyri-rezident maliyyə institutlarına,-,-,-
10. Müştərilərə verilən kreditlər,"4,328,118",-,-
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",-,-,-
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar
çıxılmaqla), cəmi",-,-,-
"13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs
hüququ verən səhm və ya başqa formada törəməsidirsə), cəmi",-,-,-
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-dən az), cəmi",-,-,-
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,-,-,-
17. Digər aktivlər,-,-,"504,221"
"18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün yaradılmış
ehtiyatlar",-,-,-
18. Cəmi aktivlər,"5,899,770",-,"3,113,930"
