Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi","3,242,233",-,"3,431,328"
"a) Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,251,381"
a1) faizsiz tələbli depozitlər,,,"1,251,381"
a2) faizli tələbli depozitlər,-,,
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə
institutlarının cari hesabları da daxil olmaqla), cəmi","1,543,712",-,"2,179,947"
b1) faizsiz tələbli depozitlər,,,"2,179,947"
b2) faizli tələbli depozitlər,"1,543,712",,
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi","1,698,522",-,-
c1) fiziki şəxslərin müddətli depozitləri,"893,995",,
c2) hüquqi şəxslərin müddətli depozitləri,"804,527",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",540,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
c) təminatlı kreditlər (lombard),-,-,-
d) digər,540,-,-
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",-,-,"6,059"
a) Rezident banklar,-,-,"2,789"
b) Qeyri-rezident banklar,-,-,"3,270"
4. REPO əməliyyatları üzrə,"49,894",-,-
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil
olmaqla, 7 günədək olan kreditlər), cəmi",-,-,-
a) Rezident banklar,-,-,-
b) Qeyri-rezident banklar,-,-,-
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna
edilməklə) depozitləri, cəmi","215,834",-,-
"6.1 Bankların depozitləri, cəmi","147,050",-,-
a) Rezident banklar,"147,050",-,-
b) Qeyri-rezident banklar,-,-,-
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri,
cəmi","68,785",-,-
a) Rezident maliyyə institutları,"68,785",-,-
b) Qeyri-rezident maliyyə institutları,-,-,-
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi","40,354",-,-
"7.1 Rezident banklar, cəmi","40,354",-,-
a) təminatlı,"40,354",-,-
b) təminatsız,-,-,-
"7.2 Qeyri-rezident banklar, cəmi",-,-,-
a) təminatlı,-,-,-
b) təminatsız,-,-,-
"8. Banklar istisna olmaqla, digər maliyyə institutlarının kreditləri, cəmi","386,464",-,-
a) Rezident maliyyə institutlarından alınmış,"386,464",-,-
b) Qeyri-rezident maliyyə institutlarından alınmış,-,-,-
c) Beynəlxalq təşkilatlarından alınmış,,-,-
9. Mərkəzi idarəetmə orqanlarının depozitləri və kreditləri,-,-,-
10. Bələdiyyələrin depozitləri və kreditləri,-,-,-
11. Bankın öz ehtiyacları üçün aldığı ipoteka kreditləri,-,-,-
12. Bank tərəfindən buraxılmış qiymətli kağızlar,"59,500",-,-
13. Digər passivlər,-,-,"354,973"
14. Kapital,-,-,"979,635"
14. Cəmi öhdəliklər,"3,994,819",0,"3,792,360"
