1,Faiz dərəcəsinə görə cəmi aktivlər,"5 ,928,165"
1.1,0-3 ay,"9 75,219"
1.2,3-6 ay,"5 54,705"
1.3,6-12 ay,"8 64,998"
1.4,12-24 ay,"2 ,036,452"
1.5,24-36 ay,"7 00,421"
1.6,36 aydan yuxarı,"7 96,370"
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,"5 ,471,205"
2.1,0-3 ay,"2 ,478,149"
2.2,3-6 ay,"6 30,942"
2.3,6-12 ay,"1 ,432,539"
2.4,12-24 ay,"3 15,101"
2.5,24-36 ay,"1 68,767"
2.6,36 aydan yuxarı,"4 45,707"
3.0,“Qəp”,"4 56,960"
3.1,0-3 ay,"( 1,502,930)"
3.2,3-6 ay,"( 76,237)"
3.3,6-12 ay,"( 567,541)"
3.4,12-24 ay,"1 ,721,350"
3.5,24-36 ay,"5 31,654"
3.6,36 aydan yuxarı,"3 50,663"
