Unnamed: 0,sumLiabManat,Unnamed: 1,sumLiabForeignCur,Unnamed: 2
MADDƏLƏR,Cəmi,,Xarici valyutada (2-ci sütundan),
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,,-,,-
a) Qarantiyalar,,-,,-
b) Bu qəbildən olan digər maddələr,,-,,-
2. İxrac akkreditivləri,,-,,-
3. Silinmiş aktivlər,,"156,282",,"14,739"
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,,"112,538",,"6,922"
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,,"36,273",,"7,816"
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,,"7,471",,1
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,,-,,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,,-,,-
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),,-,,-
