Unnamed: 0,Unnamed: 1,Ödəniş müddətinin bitməsinə qalan günlər,Ani,Unnamed: 2,1 - 7 gün,Unnamed: 3,8-30 gün,Unnamed: 4,3-6 ay,Unnamed: 5,6 ay- 9 ay,9 ay-1 il,1-2 il,Unnamed: 6,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,,,"1 ,304,470",,"4 54,996",,"485,354",,"4 29,692","4 07,520","457,477",,"2 ,036,452","1,224,216","1,966,638","8,766,814"
1.1,Nağd pul və ekvivalentləri,,,"1 ,201,590",,-,,-,,-,-,-,,-,-,"1,348,441","2,550,031"
1.2,Qiymətli kağızlar,,,-,,"8 ,460",,"177,660",,"4 5,048","3 8,288","41,709",,"5 26,713","189,532","161,694","1,189,104"
1.3,Müştərilərə verilmiş kreditlər (xalis),,,"2 1,161",,"3 0,498",,"277,448",,"3 60,914","3 38,130","355,275",,"1 ,508,551","1,034,684","470,432","4,397,093"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),,,-,,-,,"2,086",,7 30,"3 ,902","15,218",,"1 ,187",-,"2,550","25,673"
1.5,Əks REPO əməliyyatları üzrə,,,-,,"4 4,481",,-,,-,-,,,,,-,"44,481"
1.6,Qısamüddətli maliyyə alətləri,,,,,"1 65,000",,-,,-,-,,,,,-,"165,000"
1.7,Törəmə maliyyə alətləri,,,,,,,,,,,-,,,,,-
1.8,Bankın depozitləri,,,"2 2,041",,"1 ,717",,"28,160",,"2 3,000","2 7,200","45,275",,-,-,-,"147,393"
1.9,"“Nostro"" hesabları",,,"5 9,678",,-,,-,,-,-,-,,-,-,-,"59,678"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,-,,-,,-,,-,-,-,,-,-,"(528,311)","(528,311)"
1.9.2,Digər maliyyə aktivlər,,,-,,"2 04,840",,-,,-,-,-,,-,-,"511,832","716,672"
2,Öhdəliklər,,,"5,344,098",,"5 2,807",,"485,999",,"3 25,471","3 00,252","489,635",,"1 99,977","201,269","1,367,307","8,766,814"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,,,-,,-,,-,,-,-,-,,5 40,-,-,540
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,,,25,,"46,190",,"51,704",,"20,001","27,700","59,768",,"43,953","55,533","387,673","692,546"
2.3,Müştərilərin depozitləri:,,,"4 ,983,041",,"6 ,617",,"434,295",,"3 05,470","2 72,552","429,867",,"1 55,484","86,236",-,"6,673,562"
2.3.1,tələbli depozitlər,,,"4 ,975,040",,-,,-,,-,-,-,,-,-,-,"4,975,040"
2.3.2,müddətli depozitlər,,,"8 ,001",,"6 ,617",,"434,295",,"3 05,470","2 72,552","429,867",,"1 55,484","86,236",-,"1,698,522"
2.4,Subordinasiya öhdəlikləri,,,-,,-,,-,,-,-,-,,-,"59,500",-,"59,500"
2.5,Borc qiymətli kağızları,,,-,,-,,-,,-,-,-,,-,-,-,-
2.6,"“Loro"" hesabları",,,"6 ,059",,-,,-,,-,-,-,,-,-,-,"6,059"
2.7,Digər maliyyə öhdəliklər,,,"3 54,973",,-,,-,,-,-,-,,-,-,-,"354,973"
3,Kapital,,,,,,,,,,,,,,,"979,635","979,635"
,"Likvidlik ""qəpi""",,,"( 4,039,627)",,"4 02,189",,( 645),,"1 04,222","1 07,268","( 32,158)",,"1 ,836,475","1,022,947","599,331",(0)
