Unnamed: 0,Ödəniş müddətinin başlanmasına qalmış günlər (illər),O cumlədən,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
A.    Aktivlər,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsişöbələrində, yolda)",A1,"989,305",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"989,305",-,-,"989,305"
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsişöbələrində, yolda)",A2,"479,342",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,181,055","1,660,397",-,-,"1,660,397"
"3. “Nostro"" hesabları",A3,"113,977",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"113,977",-,-,"113,977"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gündə daxil olmaqla 7 günədək olanlar)",A4,-,"461,902",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"461,902","461,902",-,-
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər,cəmi",A5,"14,452","23,000","9,085",-,-,-,"17,000","10,200",-,-,"10,000","35,275",-,"7,942",-,-,-,-,-,"126,954","126,954",-,-
6. Əks REPO əməliyyatları üzrə,A6,-,"226,301","251,128",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"477,429","477,429",-,-
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətlikağızlara investisiyalar",A7,-,"3,126","18,440","14,778","13,661","40,995","5,440","26,681","14,020","11,504","11,427","25,690","31,262","5,851","163,841","383,374","105,129","59,558",-,"934,778","934,778",-,-
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarətüçün qiymətli kağızlar",A8,-,-,-,-,-,-,-,-,"4,174",-,-,-,-,-,-,-,-,-,"144,289","148,463","148,463",-,-
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyəalətləri istisna olmaqla, banklara kreditlər",A9,-,-,-,-,-,-,-,"3,400",-,"8,500","1,700",-,-,-,-,-,-,-,"2,550","16,150","16,150",-,-
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,digər maliyyə institutlarına kreditlər",A10,-,300,-,-,100,-,190,122,120,48,"4,452",-,81,449,532,"1,080",583,-,-,"8,057","8 ,057",-,-
11. Müştərilərə verilən kreditlər,A11,"30,052","34,457","66,268","58,479","149,943","150,111","135,074","122,790","174,196","194,771","120,335","140,816","127,586","138,017","139,364","1,372,989","623,900","505,430","498,534","4,783,112","4,689,105",-,-
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadəolunmayan əsas vəsaitlər daxil olmaqla)",A12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"88,931","88,931",-,-,-
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,A13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"128,217","128,217",-,-,-
14. Qeyri-maddi aktivlər,A14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,409","30,409",-,-,-
15. Digər aktivlər,A15,-,"242,563",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"332,033","574,596",-,-,"574,596"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçünməqsədli ehtiyatlar",A16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"558,134","558,134",-,-,-
17. Cəmi aktivlər,A17,"1,627,127","991,649","344,922","73,257","163,704","191,106","157,704","163,193","192,510","214,823","147,914","201,781","158,929","152,260","303,737","1,757,444","729,613","564,988","1,847,884","9,984,543","6,862,838",-,"3,338,274"
