Likvidlik riski,,,min manatla,,,,,,,,
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,"1,627,127","991,649","772,989","499,807","542,924","650,119","1,757,444","1,294,601","1,847,883","9,984,543"
1.1,Nağd pul və ekvivalentləri,"1,468,647",,,,-,-,-,-,"1,181,055","2,649,702"
1.2,Qiymətli kağızlar,,"3,126","87,874","50,315","48,622","200,954","383,374","164,688","144,288","1,083,241"
1.3,Müştərilərə verilmiş kreditlər (xalis),"30,052","34,457","424,802","432,060","455,922","404,967","1,372,989","1,129,330","498,534","4,783,113"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),,300,100,432,"18,180",981,"1,080",583,"2,550","24,207"
1.5,Əks REPO əməliyyatları üzrə,,"226,301","251,128",,-,,,,-,"477,429"
1.6,Qısamüddətli maliyyə alətləri,,"461,902",,,-,,,,-,"461,902"
1.7,Törəmə maliyyə alətləri,,,,,,-,,,,-
1.8,Bankın depozitləri,"14,452","23,000","9,085","17,000","20,200","43,217",-,-,-,"126,954"
1.9,"“Nostro"" hesabları","113,977",,,,-,-,-,-,-,"113,977"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,-,-,-,-,"(558,134)","(558,134)"
1.9.2,Digər maliyyə aktivlər,,"242,563",,,-,-,-,-,"579,590","822,153"
2,Öhdəliklər,"5,989,206","84,990","441,032","383,547","469,157","603,330","193,917","404,796","1,414,569","9,984,543"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,-,,,,-,-,540,-,-,540
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,25,"48,090","29,268","28,017","51,763","96,721","48,801","73,432","446,676","822,792"
2.3,Müştərilərin depozitləri:,"5,624,449","36,900","411,764","355,530","417,394","506,609","144,576","103,864",2,"7,601,088"
2.3.1,tələbli depozitlər,"5,612,448",,,,-,-,-,-,-,"5,612,448"
2.3.2,müddətli depozitlər,"12,001","36,900","411,764","355,530","417,394","506,609","144,576","103,864",2,"1,988,640"
2.4,Subordinasiya öhdəlikləri,,,,,-,-,-,"227,500",-,"227,500"
2.5,Borc qiymətli kağızları,,,,,-,-,-,-,-,-
2.6,"“Loro"" hesabları","6,563",,,,-,-,-,-,-,"6,563"
2.7,Digər maliyyə öhdəliklər,"358,169",,,,-,-,-,-,-,"358,169"
2.8,Kapital,,,,,,,,,"967,891","967,891"
3,"Likvidlik ""qəpi""","(4,362,079)","906,659","331,957","116,260","73,767","46,789","1,563,527","889,805","433,314",(0.00)
