Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),,
,,,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, 
bankomatlarda və mübadilə şöbələrində olan nağd 
vəsaitlər daxil olmaqla), cəmi",,,"989,305"
"2. Mərkəzi Bankda müxbir hesab, cəmi",,,"1,660,397"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir 
hesabları), cəmi",-,-,"113,977"
a) Rezident banklar,,,"14,181"
b) Qeyri-rezident banklar,,,"99,795"
"4. Banklararası bazarın qısamüddətli maliyyə 
alətləri (7-ci gün də daxil olmaqla, 7 günədək olan 
vəsaitlər), cəmi","461,902",,
a) Rezident banklar,-,-,-
b) Qeyri-rezident banklar,"461,902",-,-
"5. Banklar da daxil olmaqla, maliyyə 
institutlarındakı depozitlər, cəmi","126,954",-,-
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər 
istisna edilməklə), cəmi","104,560",-,-
a) Rezident banklar,"104,560",-,-
b) Qeyri-rezident banklar,-,-,-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi","22,394",-,-
a) Rezident maliyyə institutlarında,-,-,-
b) Qeyri-rezident maliyyə,"23,758",-,-
6. Əks REPO əməliyyatları üzrə,"477,429",-,-
"7. Qiymətli kağızlar, cəmi","1,083,241",-,-
a) ödəniş müddətinədək,"934,778",-,-
b) ticarət üçün alınmış qiymətli,"148,463",-,-
"8. Banklara kreditlər (5-ci sətir üzrə banklararası 
qısamüddətli maliyyə alətləri istisna olmaqla), cəmi","16,150",-,-
a) Rezident banklara,-,-,-
b) Qeyri-rezident banklara,"16,150",-,-
"9. Digər maliyyə institutlarına kreditlər, cəmi","8,057",-,-
a) Rezident maliyyə institutlarına,"8,057",-,-
b) Qeyri-rezident maliyyə,-,-,-
10. Müştərilərə verilən kreditlər,"4,689,105",-,-
"11. Könəlmə çıxılmaqla bank işində istifadə olunan 
əsas vəsaitlər, cəmi",-,-,-
"12. Bank işində istifadə olunmayan daşınmaz əmlak 
(ehtiyatlar çıxılmaqla), cəmi",-,-,-
"13. İcmallaşmamış törəmə təsərrüfat 
cəmiyyətlərdə iştirak (50%+1 səs hüququ verən 
səhm və ya başqa formada törəməsidirsə), cəmi",-,-,-
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-
dən az), cəmi",-,-,-
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,-,-,-
17. Digər aktivlər,-,-,"574,596"
"18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi 
üçün yaradılmış ehtiyatlar",-,-,-
18. Cəmi aktivlər,"6,862,838",,"-                             3,338,274"
