Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
1. Depozitlər (banklar və digər maliyyə institutları,"3,736,278","-                             3,864,811",
"istisna olmaqla), cəmi",,,
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,592,283"
a1) faizsiz tələbli,,,"1,592,283"
a2) faizli tələbli,-,,
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-,,,
bank maliyyə institutlarının cari hesabları,"1,747,637",-,"2,272,528"
"da daxil olmaqla), cəmi",,,
b1) faizsiz tələbli,,,"2,272,528"
b2) faizli tələbli,"1,747,637",,
c) Fiziki və hüquqi şəxslərin müddətli,"1,988,641",-,-
"depozitləri, cəmi",,,
c1) fiziki şəxslərin müddətli depozitləri,"1,069,171",,
c2) hüquqi şəxslərin müddətli,"919,470",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",540,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
c) təminatlı kreditlər (lombard),-,-,-
