MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
"1. Alınmış qarantiyalar və bu qəbildən olanmaddələr",-,-
a) Qarantiyalar,-,-
b) Bu qəbildən olan digər maddələr,-,-
2. İxrac akkreditivləri,-,-
3. Silinmiş aktivlər,"152,318","14,728"
a) Balansdan silinmiş ümidsiz kreditlərin əsa,"m   ə   b  l ə  ğ  i                                                                                                                               109,484","6,914"
b) Balansdan silinmiş ümidsiz  kreditlərin fai,"b o   r c  l a   r ı                                                                                                                                  35,363","7,814"
c) Balansdan silinmiş digər ümidsiz aktivləri,"ə  s a   s   m    ə  b  l ə   ğ  i                                                                                                                            7,471",1
"d) Balansdan silinmiş digər ümidsizaktivlərin faiz borcları",-,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələbl,"r-",-
5. Digər şərti tələblər (memorandum hesabları nəzər,a l ı n  m   ı r  )                                                                                                                                            -,-
