Unnamed: 0,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,"9,984,543","8,214,836","1,672,853","87,298","9,556"
1.1,Nağd və nağd pul ekvivalentləri,"2,763,677","1,843,345","847,353","64,076","8,904"
1.2,Qiymətli kağızlar/Əks-Repo,"1,557,705","1,185,888","371,817",0,0
1.3,Müştərilərə verilmiş kreditlər,"4,275,123","3,909,150","364,482","1,491",0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,"613,063","554,532","38,544","19,987",0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,0,0,0,0,0
1.7,Əsas vəsaitlər,"119,340","119,340",0,0,0
1.8,İnvestisiyalar və maliyyə iştirakı (xalis),"128,217","119,756","8,461",0,0
1.9,Digər aktivlər,"527,418","482,825","42,196","1,745",652
2,Öhdəliklər,"9,016,653","7,564,958","1,355,908","86,345","9,442"
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,540,540,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,"829,354","723,031","105,399",901,23
2.3,Müştərilərin depozitləri,"7,601,089","6,399,110","1,111,503","81,374","9,102"
2.3.1,a) tələbli depozitlər,"5,612,448","4,725,036","796,936","81,374","9,102"
2.3.2,b) müddətli depozitlər,"1,988,641","1,674,074","314,567",0,0
2.4,Subordinasiya öhdəlikləri,"127,500",0,"127,500",0,0
2.5,Borc qiymətli kağızları,"100,000","100,000",0,0,0
2.6,Digər öhdəliklər,"358,169","342,278","11,507","4,069",316
3,Balans kapital,"967,891","967,891",0,0,0
,Öhdəliklərin və kapitalın cəmisi,"9,984,543","8,532,849","1,355,908","86,345","9,442"
,,,,,,
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,,,8.70%,-0.58%,-0.37%
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),8.17%,,,,
3.2,Qapalı valyuta üzrə məcmu AVM,-0.42%,,,,
3.3,Qiymətli metallar üzrə AVM,0.00%,,,,
3.4,Məcmu AVM,4.35%,,8.70%,-0.58%,-0.37%
